ax,ay,az,gx,gy,gz,mx,my,mz
1101,193,16547,0.054421,0.36067,-0.11364,45,38,-20
1092,195,16534,0.054421,0.36067,-0.11311,45,38,-20
1088,191,16538,0.054954,0.36067,-0.11364,45,38,-20
1093,189,16545,0.054954,0.36067,-0.11364,44,38,-20
1095,187,16541,0.054421,0.36067,-0.11364,44,38,-20
1090,188,16560,0.054421,0.36067,-0.11364,44,38,-20
1089,188,16552,0.054421,0.36067,-0.11364,44,38,-20
1098,191,16550,0.054421,0.3612,-0.11364,44,38,-20
1106,181,16556,0.053887,0.3612,-0.11364,44,38,-21
1106,180,16568,0.053887,0.36067,-0.11364,44,38,-21
1112,192,16554,0.053887,0.36067,-0.11364,44,38,-21
1121,191,16553,0.053887,0.36067,-0.11364,44,38,-21
1124,194,16561,0.053887,0.36067,-0.11364,44,38,-21
1128,192,16552,0.053887,0.36067,-0.11364,44,38,-21
1127,189,16552,0.053887,0.36067,-0.11364,44,38,-20
1119,186,16550,0.053887,0.36014,-0.11364,44,38,-20
1114,191,16534,0.053887,0.36014,-0.11364,45,37,-20
1118,189,16532,0.053887,0.36067,-0.11364,45,38,-20
1113,184,16543,0.053887,0.36067,-0.11364,45,38,-20
1107,173,16541,0.053887,0.36067,-0.11364,44,38,-20
1107,171,16534,0.053887,0.36067,-0.11364,45,38,-20
1103,171,16547,0.053887,0.36067,-0.11364,45,37,-20
1105,178,16560,0.053887,0.36067,-0.11311,45,38,-20
1106,174,16574,0.053887,0.36067,-0.11364,45,37,-20
1100,167,16585,0.053887,0.36067,-0.11364,45,38,-20
1097,172,16578,0.053887,0.36067,-0.11364,45,37,-20
1103,167,16586,0.053887,0.36067,-0.11364,45,38,-20
1102,170,16571,0.053887,0.36067,-0.11364,45,38,-20
1100,171,16577,0.053887,0.36067,-0.11364,45,38,-20
1103,171,16564,0.053887,0.36067,-0.11364,45,38,-20
1094,169,16555,0.054421,0.36067,-0.11364,45,38,-20
1100,188,16542,0.053887,0.36067,-0.12378,45,38,-20
1102,202,16544,0.053887,0.36014,-0.13872,44,38,-20
1106,216,16554,0.055488,0.35907,-0.14566,44,38,-20
1096,221,16528,0.056021,0.3596,-0.15313,44,38,-20
