accel
-1.2424
0.23086
0.98893
-0.022916
-0.83872
-2.3075
-4.9603
-7.3704
-8.9935
-9.8613
-8.5635
-6.8699
-5.3322
-4.3012
-2.8754
-0.64592
2.8323
4.6138
5.7765
6.2716
5.0342
5.8459
6.4939
6.1442
5.3326
4.997
4.8445
3.8079
3.1513
1.8554
0.21501
-1.75
-2.8358
-3.8145
-5.3472
-5.409
-5.0011
-5.3434
-5.7265
-5.4683
-5.3999
-4.4933
-4.9626
-4.9088
-3.3551
-2.349
0.3509
2.1512
4.3951
4.6559
5.4692
5.3112
4.8067
4.1844
3.2146
1.7169
0.42678
-0.18106
-2.1626
-4.0102
-6.1688
-6.199
-6.0513
-5.8373
-6.1007
-6.8698
-6.8962
-5.2135
-3.6964
-3.4378
-4.1959
-5.5632
-5.7957
-4.7978
-4.068
-2.9451
-1.2024
-0.50332
-0.87903
0.030826
1.4
1.3789
1.1897
-0.51074
-1.4596
-1.3445
-0.34238
-0.78242
-1.9788
-2.2266
-2.0225
-1.9213
-2.6061
-3.2737
-2.8928
-2.6458
-2.872
-4.3186
-4.3543
-3.0775
-1.3719
-0.86172
-2.3702
-1.5958
-0.79314
1.1738
1.9752
3.2127
2.6663
2.6473
3.5457
4.3941
6.0917
6.6578
7.6889
5.9203
6.6893
8.0645
7.8881
7.399
5.2817
4.0944
2.0205
2.6817
2.6062
1.7841
2.6179
1.8807
1.9688
2.1981
2.2526
2.1517
1.1849
0.27813
-1.3017
-2.1811
-3.7686
-5.1062
-5.3592
-4.7415
-4.6686
-4.7273
-4.2751
-4.1937
-4.0653
-4.1669
-4.4663
-5.9975
-6.7968
-5.7057
-4.2984
-2.5012
0.1389
2.0678
5.9639
9.2339
12.778
14.265
13.731
13.475
10.241
10.529
9.8195
9.432
7.4684
7.7668
7.7536
10.958
13.177
13.687
11.996
10.696
8.1665
7.3724
7.0758
6.4166
4.0353
2.7423
3.2732
3.3044
4.3857
6.6935
7.8094
8.8619
9.222
9.524
7.9511
6.3246
2.3429
-2.303
-6.8844
-10.478
-11.072
-11.997
-12.294
-10.644
-9.2676
-8.6347
-8.0567
-7.5892
-7.3646
-7.6421
-6.8827
-5.7002
-3.1853
0.06068
4.0142
8.5128
9.115
8.1626
7.7933
8.3993
7.0678
5.0718
3.036
0.50312
1.5253
2.6236
2.6009
3.2218
3.1514
3.1074
3.1207
2.4314
-0.59811
-2.492
-3.8105
-5.1538
-4.0867
-2.687
-2.4627
-2.7681
-2.0911
-0.91642
-0.86308
-1.5988
-1.7433
-0.78512
1.5428
2.4989
4.576
6.272
6.9447
7.3536
6.8495
6.3706
3.087
1.074
-2.275
-3.6391
-5.8624
-7.2886
-9.939
-9.856
-8.8302
-7.4585
-7.3795
-6.9937
-6.3251
-5.2829
-2.9378
-1.8711
-1.9617
-1.0229
1.0062
3.1911
5.2131
4.6775
2.631
0.47335
0.30341
0.046862
-0.46252
-2.8146
-3.905
-2.1261
0.47764
2.3761
2.8382
2.9629
2.2312
2.0282
3.0792
2.131
0.42683
-0.81191
-1.8116
-2.4839
-2.9328
-2.2026
-2.532
-2.9656
-2.5779
-2.451
-1.7963
-0.3376
0.63811
-1.0594
-1.975
