
500,16101.562500,-2.708,0.769,-51.405 
-242.187500,-796.875000,15875.000000,-2.714,0.775,-51.405 
-218.750000,-695.312500,15796.875000,-2.708,0.775,-51.405 
-148.437500,-671.875000,16132.812500,-2.703,0.769,-51.405 
-156.250000,-679.687500,16164.062500,-2.703,0.769,-51.405 
-164.062500,-796.875000,16304.687500,-2.708,0.775,-51.405 
-203.125000,-859.375000,15726.562500,-2.708,0.775,-51.405 
-289.062500,-750.000000,15835.937500,-2.714,0.775,-51.405 
-148.437500,-796.875005812.500000,-2.708,0.775,-51.405 
-304.687500,-664.062500,16070.312500,-2.703,0.775,-51.405 
-335.937500,-664.062500,16390.625000,-2.703,0.769,-51.405 
-140.625000,-773.437500,16093.750000,-2.703,0.769,-51.405 
-164.062500,-820.312500,16093.750000,-2.708,0.775,-51.405 
-148.437500,-835.937500,15789.062500,-2.714,0.775,-51.405 
-304.687500,-875.000000,15750.000000,-2.714,0.775,-51.405 
-203.125000,-781.250000,16062.500000,-2.714,0.775,-51.405 
-250.000000,-640.625000,16179.687500,-2.708,0.775,-51.405 
-148.437500,-664.062500,16187.500000,-2.703,0.769,-51.405 
-148.437500,-671.875000,16234.375000,-2.703,0.769,-51.405 
-265.625000,-812.500000,16000.000000,-2.708,0.775,-51.405 
-242.187500,-890.625000,15734.375000,-2.714,0.775,-51.405 
-406.250000,-835.937500,15914.062500,-2.714,0.780,-51.405 
-273.437500,-750.000000,15679.687500,-2.708,0.775,-51.405 
-187.500000,-734.375000,16070.312500,-2.703,0.775,-51.405 
-203.125000,-703.125000,16421.875000,-2.703,0.769,-51.405 
-218.750000,-700,16179.687500,-2.703,0.775,-51.405 
-218.750000,-820.312500,16023.437500,-2.708,0.775,-51.405 
-296.875000,-796.875000,15718.750000,-2.714,0.775,-51.405 
-234.375000,-851.562500,15648.437500,-2.714,0.775,-51.405 
-109.375000,-750.000000,15976.562500,-2.708,0.775,-51.405 
-296.875000,-726.562500,16210.937500,-2.703,0.775,-51.405 
-132.812500,-734.375000,16171.875000,-2.703,0.775,-51.405 
-226.562500,-710.937500,16195.312500,-2.703,0.775,-51.405 
-273.437500,-773.437500,15820.312500,-2.708,0.775,-51.405 
-250.000000,-804.687500,15664.062500,-2.708,0.780,-51.405 
-218.750000,-773.437500,15875.000000,-2.708,0.775,-51.405 
-234.375000,-734.375000,16218.750000,-2.703,0.775,-51.405 
-289.062500,-718.750000,16164.062500,-2.703,0.775,-51.405 
-148.437500,-734.375000,16062.500000,-2.703,0.775,-51.405 
-187.500000,-765.625000,16023.437500,-2.708,0.775,-51.405 
-195.312500,-796.875000,15750.000000,-2.714,0.780,-51.405 
-296.875000,-843.750000,15921.875000,-2.714,0.780,-51.405 
-234.3750050.000000,16000.000000,-2.708,0.780,-51.405 
-148.437500,-718.750000,16031.250000,-2.703,0.775,-51.405 
-85.937500,-703.125000,16164.062500,-2.703,0.775,-51.405 
-164.062500,-726.562500,16156.250000,-2.708,0.775,-51.405 
-210.937500,-851.562500,16093.750000,-2.708,0.775,-51.405 
-281.250000,-843.750000,15734.375000,-2.714,0.780,-51.405 
-171.875000,-773.437500,15820.312500,-2.714,0.775,-51.405 
-140.625000,-789.062500,15921.875000,-2.703,0.775,-51.405 
-234.375000,-664.062500,16187.500000,-2.703,0.775,-51.405 
-218.750000,-742.187500,16203.125000,-2.703,0.775,-51.405 
-117.187500,-812.500000,16007.812500,-2.703,0.775,-51.405 
-257.812500,-757.812500,15960.937500,-2.714,0.775,-51.405 
-265.625000,-843.750000,15679.687500,-2.714,0.775,-51.405 
-304.687500,-804.687500,15843.750000,-2.708,0.775,-51.405 
-281.250000,-695.312500,16273.437500,-2.703,0.775,-51.405 
-226.562500,-734.375000,16140.625000,-2.703,0.775,-51.405 
-187.500000,-664.062500,16226.562500,-2.703,0.775,-51.405 
-101,-796.875000,15992.187500,-2.708,0.775,-51.405 
-218.750000,-789.062500,15812.500000,-2.708,0.775,-51.405 
-351.562500,-835.937500,15984.375000,-2.714,0.775,-51.405 
-242.187500,-789.062500,15968.750000,-2.708,0.775,-51.405 
-265.625000,-742.187500,15906.250000,-2.703,0.775,-51.405 
-109.375000,-679.687500,16046.875000,-2.703,0.769,-51.405 
