x,y,z
-20.04,2.7267,-22.267
-38.04,22.727,-19.267
-32.04,0.72667,-24.267
-43.04,12.727,-25.267
-32.04,15.727,-35.267
-28.04,15.727,-4.2667
-26.04,15.727,-0.26667
-19.04,10.727,-9.2667
-23.04,17.727,-5.2667
-15.04,11.727,-12.267
-15.04,14.727,-10.267
-0.04,-1.2733,-2.2667
-15.04,0.72667,1.7333
-13.04,-2.2733,-9.2667
-4.04,1.7267,-7.2667
1.96,-2.2733,9.7333
19.96,-10.273,6.7333
17.96,-10.273,22.733
20.96,-2.2733,25.733
4.96,6.7267,18.733
16.96,3.7267,23.733
11.96,-1.2733,5.7333
8.96,-5.2733,-14.267
3.96,-7.2733,-29.267
-4.04,-1.2733,-26.267
-7.04,-6.2733,-27.267
-4.04,-10.273,-17.267
2.96,-17.273,-5.2667
-7.04,-15.273,-12.267
-1.04,-14.273,4.7333
1.96,-3.2733,34.733
-6.04,-9.2733,33.733
-2.04,-6.2733,19.733
-1.04,-10.273,6.7333
-7.04,-14.273,2.7333
-3.04,-10.273,0.73333
-2.04,-11.273,21.733
-0.04,-9.2733,20.733
-8.04,-17.273,15.733
-3.04,-7.2733,26.733
-9.04,-9.2733,37.733
-11.04,5.7267,38.733
-8.04,4.7267,31.733
-4.04,3.7267,15.733
-5.04,3.7267,-8.2667
-3.04,3.7267,-23.267
-6.04,11.727,-35.267
-4.04,8.7267,-27.267
-0.04,12.727,-34.267
-2.04,10.727,-31.267
-7.04,21.727,-17.267
-13.04,23.727,5.7333
-7.04,26.727,0.73333
-15.04,24.727,16.733
-8.04,13.727,22.733
-9.04,10.727,21.733
-11.04,3.7267,49.733
-2.04,-0.27333,54.733
4.96,1.7267,34.733
-2.04,1.7267,28.733
-4.04,0.72667,49.733
-4.04,6.7267,45.733
-11.04,14.727,55.733
-10.04,18.727,52.733
-9.04,28.727,19.733
-10.04,22.727,9.7333
-19.04,14.727,15.733
-8.04,18.727,9.7333
-7.04,25.727,-10.267
-7.04,20.727,-0.26667
-9.04,15.727,-16.267
-9.04,7.7267,-12.267
-10.04,-0.27333,-7.2667
-18.04,4.7267,19.733
-18.04,1.7267,25.733
-15.04,-9.2733,25.733
-11.04,-18.273,41.733
-11.04,-22.273,37.733
-6.04,-18.273,42.733
-17.04,-6.2733,29.733
-24.04,-10.273,29.733
-23.04,-14.273,15.733
-19.04,-21.273,5.7333
-2.04,686.73,1447.7
-285.04,702.73,2170.7
-389.04,692.73,2080.7
-381.04,664.73,2071.7
-364.04,660.73,2027.7
-335.04,652.73,1994.7
-305.04,659.73,1993.7
-733.04,1486.7,3971.7
-890.04,878.73,1881.7
-621.04,905.73,1126.7
-507.04,911.73,1172.7
-543.04,934.73,1102.7
-546.04,938.73,1143.7
-562.04,947.73,1164.7
-598.04,938.73,1137.7
-160.04,129.73,-813.27
-21.04,10.727,-165.27
-15.04,-19.273,-150.27
-27.04,1.7267,-121.27
0.96,-4.2733,-23.267
-6.04,-1.2733,-23.267
-7.04,18.727,-19.267
-1.04,26.727,3.7333
-21.04,25.727,-19.267
-34.04,52.727,0.73333
-26.04,40.727,18.733
-22.04,23.727,33.733
-27.04,31.727,17.733
-20.04,22.727,28.733
-2.04,15.727,43.733
-4.04,1.7267,42.733
11.96,-5.2733,43.733
13.96,-17.273,22.733
1.96,-19.273,13.733
5.96,-8.2733,10.733
11.96,-14.273,1.7333
13.96,-9.2733,-2.2667
-10.04,-17.273,-11.267
-6.04,-10.273,-6.2667
-14.04,-8.2733,-11.267
-6.04,8.7267,-10.267
4.96,10.727,-14.267
-2.04,14.727,-15.267
-5.04,18.727,-5.2667
-13.04,14.727,-16.267
-10.04,18.727,-26.267
-15.04,16.727,-23.267
-14.04,13.727,-9.2667
-22.04,7.7267,-8.2667
-29.04,11.727,0.73333
-23.04,12.727,5.7333
-28.04,13.727,6.7333
-31.04,14.727,7.7333
-36.04,8.7267,12.733
-36.04,16.727,2.7333
-32.04,11.727,-14.267
-25.04,19.727,-3.2667
-18.04,9.7267,-0.26667
-25.04,-2.2733,-8.2667
-19.04,-3.2733,-18.267
-11.04,-6.2733,3.7333
-3.04,-9.2733,7.7333
5.96,-10.273,15.733
0.96,-9.2733,24.733
7.96,-19.273,15.733
12.96,-14.273,11.733
20.96,-15.273,14.733
23.96,-12.273,35.733
23.96,-10.273,16.733
20.96,2.7267,2.7333
15.96,-2.2733,6.7333
5.96,3.7267,4.7333
-5.04,5.7267,6.7333
-12.04,7.7267,2.7333
-16.04,13.727,3.7333
-15.04,14.727,-11.267
-15.04,14.727,0.73333
-17.04,4.7267,10.733
-14.04,6.7267,10.733
-7.04,3.7267,16.733
-2.04,10.727,22.733
-0.04,12.727,16.733
-1.04,8.7267,7.7333
2.96,4.7267,19.733
-0.04,-1.2733,26.733
3.96,10.727,25.733
-2.04,20.727,9.7333
-0.04,22.727,-4.2667
-6.04,13.727,-10.267
-6.04,15.727,-3.2667
-6.04,19.727,-7.2667
-14.04,17.727,-7.2667
-19.04,26.727,-25.267
-27.04,10.727,-13.267
-18.04,3.7267,-11.267
-27.04,-1.2733,0.73333
-16.04,-2.2733,1.7333
-23.04,-9.2733,3.7333
-33.04,-17.273,20.733
-37.04,-13.273,10.733
-24.04,-15.273,12.733
-14.04,-16.273,-2.2667
-18.04,-19.273,2.7333
-17.04,-21.273,-4.2667
-27.04,-15.273,1.7333
-21.04,-16.273,1.7333
-19.04,-9.2733,-2.2667
-11.04,-13.273,9.7333
-24.04,-13.273,11.733
-19.04,-8.2733,27.733
-12.04,-9.2733,29.733
-7.04,-2.2733,29.733
2.96,2.7267,27.733
3.96,8.7267,42.733
