
-195.312500,-851.562500,15476.562500,-2.587,0.807,11.349 
-218.750000,-765.625000,16023.437500,-2.576,0.813,11.349 
-281.250000,-562.500000,16367.187500,-2.571,0.813,11.349 
-234.375000,-695.312500,15976.562500,-2.576,0.813,11.349 
-179.687500,-906.250000,15804.687500,-2.587,0.813,11.349 
-226.562500,-734.375000,16015.625000,-2.582,0.813,11.349 
-203.125000,-570.312500,16187.500000,-2.571,0.813,11.349 
-195.312500,-648.437500,16031.250000,-2.576,0.813,11.349 
-242.187500,-937.500000,15882.812500,-2.587,0.813,11.349 
-226.562500,-835.937500,15703.125000,-2.582,0.813,11.349 
-187.500000,-515.625000,16171.875000,-2.571,0.813,11.349 
-289.062500,-703.125000,16359.375000,-2.576,0.813,11.349 
-187.500000,-828.125000,15648.437500,-2.587,0.813,11.349 
-171.875000,-789.062500,15875.000000,-2.582,0.813,11.349 
-296.875000,-648.437500,16265.625000,-2.571,0.813,11.349 
-265.625000,-593.750000,16164.062500,-2.576,0.813,11.349 
-218.750000,-851.562500,15835.937500,-2.587,0.813,11.349 
-148.437500,-828.125000,15734.375000,-2.582,0.813,11.349 
-210.937500,-632.812500,16218.750000,-2.571,0.813,11.349 
-281.250000,-640.625000,16000.000000,-2.576,0.813,11.349 
-257.812500,-867.187500,15882.812500,-2.587,0.813,11.349 
-187.500000,-921.875000,15921.875000,-2.582,0.813,11.349 
-234.375000,-617.187500,15750.000000,-2.571,0.813,11.349 
-210.937500,-617.187500,16492.187500,-2.576,0.813,11.349 
-257.812500,-789.062500,15898.437500,-2.587,0.813,11.349 
-179.687500,-859.375000,15546.875000,-2.582,0.813,11.349 
-281.250000,-640.625000,16171.875000,-2.576,0.813,11.349 
-210.937500,-632.812500,16289.062500,-2.576,0.813,11.349 
-234.375000,-804.687500,15765.625000,-2.582,0.813,11.349 
-171.875000,-835.937500,15898.437500,-2.582,0.813,11.349 
-250.000000,-687.500000,16210.937500,-2.576,0.813,11.349 
-265.625000,-523.437500,16179.687500,-2.571,0.813,11.349 
