x,y,z
-30.333,-2.6922,56.244
-26.515,-5.2626,62.849
19.277,46.902,-40.339
-29.616,-17.294,-49.901
-81.576,-9.3591,-2.8378
-66.886,-46.748,12.484
-32.894,-23.287,-11.398
-48.549,-8.32,-24.818
-29.305,-13.019,-26.329
-15.944,-11.478,-32.957
-34.179,-19.409,-88.92
-72.843,-40.65,-87.78
-2.5574,11.424,-28.162
33.563,36.291,-40.856
46.48,21.616,-4.8
45.802,28.412,29.759
53.127,16.05,-34.35
35.849,11.505,19.765
32.036,35.265,37.314
33.654,26.501,48.954
13.637,-21.075,4.6284
14.866,-22.207,51.181
-129.22,-264.39,37.383
-223.71,-211.78,12.213
-21.035,61.656,585.21
-2.0728,-0.18002,536.69
-250.22,-204.41,1147.6
-359.16,-303.25,632.39
-753.29,-486.29,1090.8
-1179.5,-454.13,691.15
-1158.8,834.35,394.43
-1684,88.421,2686.3
-585.15,-1916.2,-3588.1
-1343.4,-1606.5,-2872.9
-856.87,-819.56,-3182
-1569,-844.77,-2724.4
-1166.1,-438.9,-2897.8
-1108.9,-237.81,-2480.7
-1072.3,-1250.8,-2461.4
29.7,-508.95,-4361.3
-3530.4,582.19,260.15
-2077.5,211.82,188.95
-1794.2,-758.41,20.095
-905.97,-676.79,114.02
-383.85,-820.72,-113.42
-93.871,-1253.7,-199.48
125.9,-1150.6,-150.77
700.07,-1009.8,-34.02
928.26,-900.29,-94.66
994.04,-638.4,-448.29
1364.4,-369.42,-741.78
1356.2,-385.61,-1084.8
1227.1,-411.33,-1070.4
1303.9,-262.43,-1181.6
1046.4,-494.12,-1417.5
770.61,-471.92,-1484.4
718.32,-331.05,-1570.8
545.05,-346.39,-1399.3
463.75,-208.6,-1092.6
418.97,-160.59,-725.34
531.39,-92.112,-642.33
458.62,256.98,-870.15
673.9,616.72,-941.73
859.18,772.4,-1418.1
819.45,787.07,-1804.6
831.44,820.87,-2159.3
829.25,876.34,-2344.5
807.52,662.52,-2594.8
521.23,648.54,-2987.3
343.75,379.46,-3040.6
357.38,152.99,-2953.4
-152.42,-7.3176,-2599.6
-213.43,-33.049,-2508.3
-295.08,-123.32,-2384.7
-150.82,23.597,-2098.7
-286.68,232.28,-1622.5
-58.233,271.49,-1130
265.12,421.87,-880.44
282.45,223.9,-634.95
751.07,178.93,-656.46
890.37,-118.64,-93.179
943.79,-82.052,147.04
626.5,-408.11,418.29
619.26,-494.26,468.11
444.05,-653.49,505.84
