-86.897,71.612,17064
-93.603,50.514,17068
-90.834,27.327,17085
-95.796,19.888,17095
-90.112,11.865,17087
-87.379,4.0386,17091
-88.251,-6.375,17090
-86.233,0.83324,17104
-89.404,-4.4285,17096
-85.498,-4.8356,17098
-86.848,-5.1879,17036
-80.078,-6.5291,17018
-85.244,-9.0237,17037
-85.681,-2.861,17038
-82.38,20.409,17047
-79.5,30.592,17037
-71.678,39.834,17038
-73.584,26.346,17035
-72.551,41.331,17082
-70.932,46.174,17097
-73.448,49.62,17097
-76.036,48.672,17097
-75.342,47.912,17100
-85.442,40.322,17102
-91.548,42.536,17108
-85.793,7.8614,17114
-90.104,12.089,17114
-95.269,-5.1867,17105
-94.143,-17.657,17105
-81.944,-16.843,17106
-77.023,-17.493,17090
-80.696,-18.463,17080
-50.52,-22.941,17083
-62.553,9.0469,17087
-66.821,-0.47199,17068
-69.204,-0.092539,17069
-69.781,23.825,17063
-77.12,31.301,17072
-77.364,32.758,17079
-71.333,37.34,17075
-99.061,41.179,17069
-88.452,13.11,17050
-82.538,10.962,17076
-83.33,10.283,17084
-81.864,10.684,17088
-79.415,8.585,17079
-84.564,18.572,17072
-81.48,22.647,17081
-85.765,25.308,17080
-90.022,44.78,17114
-91.442,39.106,17089
-90.128,36.587,17093
-89.757,32.287,17096
-88.66,32.933,17108
-97.412,23.284,17117
-97.633,22.341,17129
-87.569,15.149,17126
-82.632,-1.2545,17098
-82.813,-3.1805,17130
-85.022,9.5968,17129
-83.632,-5.06,17121
-82.639,-6.5558,17102
-94.713,-12.718,17108
-89.417,-36.123,17091
-88.394,-33.38,17092
-87.171,-31.302,17104
-81.477,-24.019,17103
-79.856,-22.642,17102
-79.013,-24.318,17104
-85.117,-27.281,17113
-61.141,-20.431,17106
-69.997,6.623,17112
-68.873,5.5881,17104
-73.803,7.8145,17115
-80.457,7.2961,17106
-78.339,26.311,17101
-76.713,45.714,17090
-76.244,31.633,17089
-78.678,18.558,17092
-76.03,12.462,17094
-84.939,30.173,17099
-89.72,30.438,17079
-89.651,8.8374,17082
-82.631,0.1226,17081
-75.535,-2.7408,17086
-76.196,-1.9757,17086
-73.054,23.318,17082
-82.67,34.222,17085
-82.189,42.321,17099
-72.89,32.336,17105
-68.251,47.986,17096
-71.699,60.108,17090
-84.833,49.423,17086
-78.017,46.498,17092
-84.64,42.389,17090
-76.687,36.094,17101
-75.161,6.5148,17100
-76.523,-8.5676,17104
-82.985,-15.997,17128
-84.778,-23.601,17125
-77.358,-22.895,17114
-78.987,-24.201,17110
-78.36,-25.923,17113
-76.765,-25.084,17105
-73.835,-18.322,17085
-77.641,4.4171,17087
-81.547,17.451,17071
-81.367,26.638,17087
-93.43,12.722,17117
-89.048,26.989,17118
-70.599,39.353,17130
-74.254,40.786,17129
-79.63,40.601,17146
-79.627,20.501,17144
-76.593,6.3361,17138
-73.906,-5.6498,17132
-73.178,-4.5389,17105
-77.293,-5.6395,17109
-104.33,-21.963,17084
-104.96,-32.098,17084
-97.433,-14.27,17069
-99.852,-5.3198,17057
-97.37,4.1309,17067
-96.927,15.627,17063
