
1.875000,16046.875000,-2.395,0.538,-74.685 
-78.125000,-687.500000,15710.937500,-2.401,0.538,-74.685 
-281.250000,-656.250000,16054.687500,-2.401,0.544,-74.685 
-109.375000,-656.250000,16179.687500,-2.395,0.538,-74.685 
-15.625000,-679.687500,16093.750000,-2.395,0.538,-74.685 
-265.625000,-742.187500,15984.375000,-2.401,0.544,-74.685 
-156.250000,-750.000000,15960.937500,-2.401,0.544,-74.685 
-93.750000,-687.500000,16046.875000,-2.395,0.538,-74.685 
-179.687500,-703.125000,16195.312500,-2.395,0.538,-74.685 
-179.687500,-695.312500,15867.187500,-2.401,0.544,-74.685 
-78.125000,-679.687500,15734.375000,-2.401,0.538,-74.685 
-156.250000,-632.812500,16109.375000,-2.395,0.544,-74.685 
-171.875000,-726.562500,16234.375000,-2.395,0.544,-74.685 
-70.312500,-765.625000,15796.875000,-2.401,0.538,-74.685 
-242.187500,-718.750000,15804.687500,-2.401,0.544,-74.685 
-171.875000,-687.500000,16320.312500,-2.395,0.544,-74.685 
-15.625000,-710.937500,15976.562500,-2.395,0.544,-74.685 
-140.625000,-671.875000,15851.562500,-2.401,0.538,-74.685 
-250.000000,-734.375000,15882.812500,-2.401,0.549,-74.685 
-62.500000,-671.875000,15953.125000,-2.395,0.544,-74.685 
-93.750000,-671.875000,16046.875000,-2.395,0.544,-74.685 
-203.125000,-718.750000,16101.562500,-2.401,0.544,-74.685 
-164.062500,-718.750000,15710.937500,-2.406,0.544,-74.685 
-93.750000,-648.437500,16000.000000,-2.395,0.544,-74.685 
-210.937500,-718.750000,16429.687500,-2.395,0.544,-74.685 
-93.750000,-734.375000,15750.000000,-2.401,0.544,-74.685 
-109.375000,-710.937500,15703.125000,-2.406,0.544,-74.685 
-242.187500,-664.062500,16148.437500,-2.401,0.544,-74.685 
-85.937500,-679.687500,16125.000000,-2.395,0.544,-74.685 
-62.500000,-710.937500,15835.937500,-2.401,0.538,-74.685 
-304.687500,-710.937500,15875.000000,-2.406,0.544,-74.685 
-148.437500,-695.312500,16132.812500,-2.401,0.544,-74.685 
-7.812500,-679.687500,16062.500000,-2.395,0.538,-74.685 
-226.562500,-750.000000,16031.250000,-2.401,0.544,-74.685 
-195.312500,-726.562500,15812.500000,-2.406,0.544,-74.685 
-62.500000,-664.062500,15851.562500,-2.401,0.544,-74.685 
-125.000000,-640.625000,16242.187500,-2.395,0.544,-74.685 
-156.250000,-734.375000,16046.875000,-2.401,0.544,-74.685 
-93.750000,-695.312500,15742.187500,-2.406,0.544,-74.685 
-203.125000,-640.625000,16070.312500,-2.401,0.544,-74.685 
-101.562500,-718.750000,16406.250000,-2.395,0.544,-74.685 
-70.312500,-757.812500,15937.500000,-2.401,0.544,-74.685 
-203.125000,-710.937500,15718.750000,-2.406,0.544,-74.685 
-140.625000,-750.000000,16132.812500,-2.395,0.544,-74.685 
-46.875000,-671.875000,15992.187500,-2.395,0.544,-74.685 
-62.500000,-671.875000,15953.125000,-2.401,0.544,-74.685 
-179.687500,-734.375000,15906.250000,-2.406,0.549,-74.685 
-109.375000,-703.125000,15812.500000,-2.395,0.544,-74.685 
-62.500000,-656.250000,16203.125000,-2.395,0.544,-74.685 
-179.687500,-710.937500,16109.375000,-2.401,0.544,-74.685 
-85.937500,-742.187500,15734.375000,-2.406,0.544,-74.685 
-179.687500,-679.687500,15828.125000,-2.395,0.544,-74.685 
-187.500000,-648.437500,16320.312500,-2.395,0.544,-74.685 
-54.687500,-718.750000,16054.687500,-2.401,0.538,-74.685 
-140.625000,-703.125000,15710.937500,-2.406,0.544,-74.685 
-257.812500,-671.875000,16039.062500,-2.401,0.544,-74.685 
-117.187500,-671.875000,16164.062500,-2.395,0.544,-74.685 
-31.250000,-679.687500,16007.812500,-2.401,0.538,-74.685 
-250.000000,-710.937500,15953.125000,-2.406,0.549,-74.685 
-171.875000,-703.125000,15914.062500,-2.401,0.544,-74.685 
-85.937500,-625.000000,16023.437500,-2.395,0.544,-74.685 
-125.000000,-679.687500,16265.625000,-2.401,0.544,-74.685 
-125.000000,-742.187500,15773.437500,-2.406,0.544,-74.685 
-140.625000,-703.125000,15726.562500,-2.401,0.544,-74.685 
-179.687500,-640.625000,16195.312500,-2.401,0.544,-74.685 
-23.437500,-703.125000,16148.437500,-2.401,0.544,-74.685 
-54.687500,-718.750000,15773.437500,-2.406,0.544,-74.685 
-273.437500,-640.625000,15820.312500,-2.406,0.544,-74.685 
-70.312500,-671.875000,16304.687500,-2.395,0.538,-74.685 
-62.500000,-679.687500,15984.375000,-2.401,0.538,-74.685 
-226.562500,-726.562500,15906.250000,-2.406,0.544,-74.685 
-250.000000,-703.125000,15953.125000,-2.406,0.544,-74.685 
-78.125000,-656.250000,16015.625000,-2.395,0.538,-74.685 
-117.187500,-625.000000,16195.312500,-2.395,0.538,-74.685 
-171.875000,-726.562500,15976.562500,-2.406,0.544,-74.685 
-101.562500,-726.562500,15765.625000,-2.401,0.538,-74.685 
-132.812500,-664.062500,16054.687500,-2.390,0.538,-74.685 
-203.125000,-695.312500,16351.562500,-2.395,0.538,-74.685 
-62.500000,-734.375000,15773.437500,-2.401,0.538,-74.685 
-132.812500,-718.750000,15695.312500,-2.401,0.544,-74.685 
-195.312500,-656.250000,16125.000000,-2.395,0.538,-74.685 
-117.187500,-718.750000,16140.625000,-2.395,0.538,-74.685 
-93.750000,-718.750000,15796.875000,-2.401,0.538,-74.685 
-273.437500,-742.187500,15960.937500,-2.406,0.538,-74.685 
-210.937500,-687.500000,16039.062500,-2.395,0.538,-74.685 
-78.125000,-648.437500,16101.562500,-2.395,0.533,-74.685 
-257.812500,-695.312500,16078.125000,-2.401,0.538,-74.685 
-148.437500,-734.375000,15843.750000,-2.401,0.538,-74.685 
-46.875000,-640.625000,15789.062500,-2.395,0.538,-74.685 
-164.062500,-640.625000,16335.937500,-2.395,0.538,-74.685 
-23.437500,-734.375000,15945.312500,-2.401,0.538,-74.685 
-109.375000,-695.312500,15664.062500,-2.401,0.538,-74.685 
-242.187500,-656.250000,16078.125000,-2.395,0.538,-74.685 
-39.062500,-726.562500,16320.312500,-2.395,0.533,-74.685 
-15.625000,-703.125000,15859.375000,-2.401,0.533,-74.685 
-203.125000,-750.000000,15859.375000,-2.401,0.538,-74.685 
-203.125000,-687.500000,16015.625000,-2.395,0.538,-74.685 
-31.250000,-710.937500,16093.750000,-2.395,0.533,-74.685 
-171.875000,-679.687500,16015.625000,-2.401,0.538,-74.685 
-281.250000,-718.750000,15820.312500,-2.406,0.538,-74.685 
-132.812500,-687.500000,15843.750000,-2.401,0.538,-74.685 
-148.437500,-601.562500,16132.812500,-2.395,0.538,-74.685 
-203.125000,-679.687500,16195.312500,-2.406,0.538,-74-54.687500,-726.562500,15789.062500,-2.406,0.538,-74.685 
-171.875000,-695.312500,15703.125000,-2.401,0.538,-74.685 
-203.125000,-656.250000,16289.062500,-2.395,0.533,-74.685 
-31.250000,-710.937500,15984.375000,-2.401,0.533,-74.685 
-132.812500,-671.875000,15664.062500,-2.406,0.538,-74.685 
-234.375000,-656.250000,16195.312500,-2.401,0.538,-74.685 
-70.312500,-625.000000,16031.250000,-2.401,0.533,-74.685 
-140.625000,-742.187500,16046.875000,-2.406,0.533,-74.685 
-312.500000,-671.875000,15906.250000,-2.406,0.538,-74.685 
-62.500000,-679.687500,15968.750000,-2.406,0.533,-74.685 
-156.250000,-625.000000,16156.250000,-2.401,0.533,-74.685 
-273.437500,-710.937500,16046.875000,-2.406,0.533,-74.685 
-125.000000,-726.562500,15820.312500,-2.411,0.533,-74.685 
-210.937500,-656.250000,15906.250000,-2.406,0.533,-74.685 
-187.500000,-664.062500,16359.375000,-2.401,0.533,-74.685 
-85.937500,-664.062500,15820.312500,-2.406,0.533,-74.685 
-203.125000,-671.875000,15726.562500,-2.411,0.538,-74.685 
-250.000000,-679.687500,16101.562500,-2.406,0.538,-74.685 
-85.937500,-671.875000,16046.875000,-2.401,0.533,-74.685 
-117.187500,-632.812500,15929.687500,-2.401,0.533,-74.685 
