
726.562500,15796.875000,-2.384,0.549,-75.031 
-156.250000,-679.687500,15968.750000,-2.384,0.549,-75.031 
-265.625000,-742.187500,15882.812500,-2.390,0.555,-75.031 
-46.875000,-648.437500,15851.562500,-2.384,0.549,-75.031 
-101.562500,-609.375000,16203.125000,-2.379,0.549,-75.031 
-195.312500,-734.375000,16007.812500,-2.390,0.555,-75.031 
-179.687500,-687.500000,15757.812500,-2.390,0.549,-75.031 
-210.937500,-601.562500,16000.000000,-2.384,0.555,-75.031 
-203.125000,-664.062500,16398.437500,-2.384,0.549,-75.031 
-156.250000,-656.250000,15914.062500,-2.390,0.555,-75.031 
-242.187500,-687.500000,15640.625000,-2.390,0.555,-75.031 
-242.187500,-625.000000,16085.937500,-2.384,0.555,-75.031 
-93.750000,-609.375000,16171.875000,-2.384,0.549,-75.031 
-101.562500,-679.687500,15804.687500,-2.390,0.549,-75.031 
-335.937500,-718.750000,15921.875000,-2.395,0.555,-75.031 
-179.687500,-648.437500,16039.062500,-2.384,0.549,-75.031 
-15.625000,-617.187500,16148.437500,-2.384,0.549,-75.031 
-226.562500,-710.937500,16093.750000,-2.390,0.555,-75.031 
-195.312500,-734.375000,15867.187500,-2.395,0.555,-75.031 
-117.187500,-656.250000,15828.125000,-2.384,0.549,-75.031 
-179.687500,-593.750000,16312.500000,-2.384,0.549,-75.031 
-164.062500,-710.937500,16046.875000,-2.390,0.549,-75.031 
-125.000000,-679.687500,15734.375000,-2.395,0.555,-75.031 
-250.000000,-632.812500,15945.312500,-2.390,0.555,-75.031 
-156.250000,-656.250000,16429.687500,-2.384,0.549,-75.031 
-85.937500,-671.875000,15898.437500,-2.395,0.555,-75.031 
-296.875000,-718.750000,15906.250000,-2.395,0.560,-75.031 
-265.625000,-671.875000,16023.437500,-2.390,0.555,-75.031 
-62.500000,-617.187500,16078.125000,-2.384,0.555,-75.031 
-203.125000,-664.062500,16125.000000,-2.395,0.555,-75.031 
-210.937500,-734.375000,15820.312500,-2.401,0.555,-75.031 
-109.375000,-664.062500,15812.500000,-2.390,0.555,-75.031 
-187.500000,-617.187500,16125.000000,-2.384,0.555,-75.031 
-226.562500,-656.250000,16257.812500,-2.390,0.555,-75.031 
-187.500000,-703.125000,15765.625000,-2.401,0.555,-75.031 
-171.875000,-609.375000,15710.937500,-2.390,0.555,-75.031 
-234.375000,-617.187500,16359.375000,-2.390,0.555,-75.031 
-117.187500,-648.437500,15953.125000,-2.390,0.555,-75.031 
-140.625000,-664.062500,15750.000000,-2.395,0.555,-75.031 
-320.312500,-656.250000,16054.687500,-2.390,0.560,-75.031 
-171.875000,-648.437500,16117.187500,-2.384,0.555,-75.031 
-78.125000,-625.000000,16085.937500,-2.390,0.555,-75.031 
-343.750000,-703.125000,15953.125000,-2.395,0.560,-75.031 
-218.750000,-703.125000,15875.000000,-2.390,0.555,-75.031 
-70.312500,-632.812500,16023.437500,-2.384,0.555,-75.031 
-203.125000,-734.375000,16117.187500,-2.390,0.555,-75.031 
-101.562500,-718.750000,15750.000000,-2.395,0.555,-75.031 
-179.687500,-695.312500,15796.875000,-2.390,0.555,-75.031 
-179.687500,-695.312500,16414.062500,-2.384,0.555,-75.031 
-54.687500,-679.687500,15851.562500,-2.390,0.555,-75.031 
-171.875000,-695.312500,15765.625000,-2.395,0.555,-75.031 
-320.312500,-656.250000,15992.187500,-2.395,0.555,-75.031 
-93.750000,-664.062500,16109.375000,-2.384,0.555,-75.031 
-101.562500,-664.062500,16039.062500,-2.390,0.549,-75.031 
-257.812500,-726.562500,15898.437500,-2.395,0.555,-75.031 
-117.187500,-679.687500,15945.312500,-2.395,0.555,-75.031 
-93.750000,-640.625000,16085.937500,-2.384,0.555,-75.031 
-132.812500,-664.062500,16171.875000,-2.384,0.555,-75.031 
-78.125000,-750.000000,15875.000000,-2.395,0.555,-75.031 
-117.187500,-656.250000,15632.812500,-2.390,0.555,-75.031 
-171.875000,-687.500000,16335.937500,-2.379,0.555,-75.031 
-78.125000,-718.750000,16125.000000,-2.384,0.555,-75.031 
-101.562500,-695.312500,15671.875000,-2.390,0.555,-75.031 
-289.062500,-765.625000,15992.187500,-2.390,0.560,-75.031 
-101.562500,-671.875000,16289.062500,-2.384,0.555,-75.031 
-15.625000,-718.750000,16007.812500,-2.384,0.555,-75.031 
-187.500000,-765.625000,15953.125000,-2.390,0.555,-75.031 
-218.750000,-695.312500,15875.000000,-2.390,0.560,-75.031 
-7.812500,-687.500000,16054.687500,-2.384,0.549,-75.031 
-140.625000,-710.937500,16085.937500,-2.384,0.549,-75.031 
-156.250000,-757.812500,15937.500000,-2.390,0.555,-75.031 
-85.937500,-703.125000,15640.625000,-2.390,0.555,-75.031 
-78.125000,-648.437500,16085.937500,-2.384,0.555,-75.031 
-125.000000,-718.750000,16304.687500,-2.384,0.555,-75.031 
0.000000,-757.812500,15718.750000,-2.390,0.555,-75.031 
-257.812500,-718.750000,15718.750000,-2.395,0.555,-75.031 
-210.937500,-625.000000,16164.062500,-2.384,0.560,-75.031 
0.000000,-687.500000,16062.500000,-2.384,0.555,-75.031 
-171.875000,-710.937500,15726.562500,-2.390,0.555,-75.031 
-273.437500,-671.875000,15882.812500,-2.390,0.555,-75.031 
-70.312500,-671.875000,16085.937500,-2.384,0.555,-75.031 
-125.000000,-609.375000,16062.500000,-2.384,0.549,-75.031 
-265.625000,-718.750000,16078.125000,-2.390,0.555,-75.031 
-132.812500,-726.562500,15820.312500,-2.395,0.555,-75.031 
-54.687500,-671.875000,15843.750000,-2.390,0.555,-75.031 
-117.187500,-679.687500,16375.000000,-2.384,0.555,-75.031 
-132.812500,-765.625000,15820.312500,-2.390,0.555,-75.031 
-101.562500,-734.375000,15656.250000,-2.395,0.555,-75.031 
-125.000000,-664.062500,16101.562500,-2.390,0.555,-75.031 
-109.375000,-671.875000,16195.312500,-2.384,0.555,-75.031 
-78.125000,-718.750000,15960.937500,-2.390,0.555,-75.031 
-281.250000,-718.750000,15851.562500,-2.395,0.555,-75.031 
-195.312500,-656.250000,16117.187500,-2.390,0.560,-75.031 
-23.437500,-679.687500,16062.500000,-2.384,0.555,-75.031 
-164.062500,-734.375000,15992.187500,-2.384,0.555,-75.031 
-218.750000,-734.375000,15953.125000,-2.395,0.560,-75.031 
-125.000000,-679.687500,15765.625000,-2.390,0.555,-75.031 
-179.687500,-656.250000,16203.125000,-2.379,0.555,-75.031 
-203.125000,-695.312500,16148.437500,-2.384,0.555,-75.031 
-31.250000,-773.437500,15671.875000,-2.390,0.555,-75.031 
-210.937500,-656.250000,15843.750000,-2.384,0.555,-75.031 
-171.875000,-671.875000,16320.312500,-2.384,0.555,-75.031 
-31.250000,-726.562500,15914.062500,-2.390,0.549,-75.031 
-195.312500,-703.125000,15742.187500,-2.390,0.555,-75.031 
-273.437500,-664.062500,15929.687500,-2.384,0.555,-75.031 
-15.625000,-656.250000,16117.187500,-2.379,0.549,-75.031 
-132.812500,-687.500000,15882.812500,-2.384,0.549,-75.031 
-234.375000,-734.375000,15921.875000,-2.390,0.555,-75.031 
-85.937500,-671.875000,15750.000000,-2.384,0.549,-75.031 
-140.625000,-617.187500,16140.625000,-2.379,0.549,-75.031 
-187.500000,-710.937500,16281.250000,-2.384,0.549,-75.031 
-85.937500,-695.312500,15773.437500,-2.390,0.549,-75.031 
-140.625000,-671.875000,15859.375000,-2.379,0.555,-75.031 
-218.750000,-671.875000,16281.250000,-2.373,0.549,-75.031 
-85.937500,-695.312500,16062.500000,-2.384,0.549,-75.031 
-93.750000,-750.000000,15765.625000,-2.390,0.555,-75.031 
-281.250000,-703.125000,15906.250000,-2.384,0.555,-75.031 
-93.750000,-703.125000,16226.562500,-2.379,0.555,-75.031 
-7.812500,-695.312500,15921.875000,-2.384,0.555,-75.031 
-218.750000,-757.812500,15921.875000,-2.390,0.560,-75.031 
-234.375000,-718.750000,15859.375000,-2.384,0.555,-75.031 
-31.250000,-625.000000,15992.187500,-2.379,0.549,-75.031 
-148.437500,-695.312500,16250.000000,-2.384,0.555,-75.031 
-234.375000,-773.437500,15875.000000,-2.390,0.555,-75.031 
-117.187500,-656.250000,15851.562500,-2.384,0.555,-75.031 
-171.875000,-593.750000,16054.687500,-2.379,0.555,-75.031 
-218.750000,-687.500000,16320.312500,-2.384,0.555,-75.031 
-62.500000,-734.375000,15828.125000,-2.390,0.555,-75.031 
-234.375000,-710.937500,15789.062500,-2.384,0.560,-75.031 
-195.312500,-648.437500,16242.187500,-2.379,0.555,-75.031 
-39.062500,-703.125000,15898.437500,-2.384,0.555,-75.031 
-132.812500,-703.125000,15781.250000,-2.390,0.560,-75.031 
-273.437500,-726.562500,15960.937500,-2.390,0.560,-75.031 
-15.625000,-656.250000,15929.687500,-2.379,0.555,-75.031 
-117.187500,-632.812500,16101.562500,-2.384,0.560,-75.031 
-203.125000,-726.562500,16062.500000,-2.390,0.560,-75.031 
-125.000000,-695.312500,15789.062500,-2.390,0.560,-75.031 
-156.250000,-664.062500,15945.312500,-2.379,0.560,-75.031 
-109.375000,-625.000000,16296.875000,-2.384,0.560,-75.031 
-85.937500,-710.937500,15898.437500,-2.390,0.560,-75.031 
-93.750000,-726.562500,15734.375000,-2.390,0.560,-75.031 
-210.937500,-664.062500,16093.750000,-2.379,0.560,-75.031 
-132.812500,-687.500000,16273.437500,-2.384,0.560,-75.031 
-85.937500,-710.937500,15812.500000,-2.390,0.560,-75.031 
-265.625000,-703.125000,15953.125000,-2.390,0.566,-75.031 
-140.625000,-679.687500,16039.062500,-2.384,0.560,-75.031 
15.625000,-695.312500,16101.562500,-2.379,0.560,-75.031 
-164.062500,-734.375000,15929.687500,-2.390,0.560,-75.031 
-195.312500,-757.812500,15882.812500,-2.390,0.560,-75.031 
-46.875000,-664.062500,15781.250000,-2.384,0.560,-75.031 
-164.062500,-664.062500,16257.812500,-2.384,0.560,-75.031 
-179.687500,-710.937500,16085.937500,-2.390,0.560,-75.031 
-85.937500,-734.375000,15671.875000,-2.395,0.560,-75.031 
-257.812500,-679.687500,15929.687500,-2.384,0.560,-75.031 
-164.062500,-679.687500,16359.375000,-2.384,0.555,-75.031 
-46.875000,-703.125000,15828.125000,-2.390,0.555,-75.031 
-234.375000,-742.187500,15789.062500,-2.395,0.560,-75.031 
-257.812500,-664.062500,15984.375000,-2.390,0.560,-75.031 
7.812500,-640.625000,16109.375000,-2.384,0.555,-75.031 
-78.125000,-718.750000,15992.187500,-2.395,0.555,-75.031 
-281.250000,-750.000000,15789.062500,-2.401,0.560,-75.031 
-93.750000,-679.687500,15828.125000,-2.390,0.555,-75.031 
-117.187500,-632.812500,16156.250000,-2.384,0.555,-75.031 
-187.500000,-687.500000,16156.250000,-2.395,0.555,-75.031 
-132.812500,-718.750000,15765.625000,-2.401,0.555,-75.031 
-257.812500,-687.500000,15734.375000,-2.395,0.560,-75.031 
-62.500000,-664.062500,16445.312500,-2.390,0.555,-75.031 
-70.312500,-718.750000,15757.812500,-2.395,0.555,-75.031 
-257.812500,-695.312500,15851.562500,-2.401,0.555,-75.031 
-226.562500,-679.687500,16070.312500,-2.395,0.560,-75.031 
-62.500000,-640.625000,16085.937500,-2.390,0.555,-75.031 
-140.625000,-695.312500,15968.750000,-2.395,0.555,-75.031 
-273.437500,-718.750000,15906.250000,-2.401,0.555,-75.031 
-109.375000,-679.687500,15960.937500,-2.395,0.555,-75.031 
-78.125000,-656.250000,16156.250000,-2.390,0.555,-75.031 
-203.125000,-734.375000,16156.250000,-2.395,0.555,-75.031 
-148.437500,-695.312500,15781.250000,-2.401,0.555,-75.031 
-148.437500,-625.000000,15898.437500,-2.401,0.555,-75.031 
-140.625000,-617.187500,16367.187500,-2.395,0.555,-75.031 
-93.750000,-734.375000,16023.437500,-2.395,0.555,-75.031 
-101.562500,-695.312500,15664.062500,-2.401,0.555,-75.031 
-218.750000,-664.062500,16140.625000,-2.401,0.555,-75.031 
-148.437500,-679.687500,16265.625000,-2.395,0.555,-75.031 
-46.875000,-671.875000,15875.000000,-2.395,0.549,-75.031 
-328.125000,-679.687500,16117.187500,-2.401,0.555,-75.031 
-187.500000,-679.687500,15960.937500,-2.401,0.555,-75.031 
-62.500000,-656.250000,16085.937500,-2.395,0.549,-75.031 
-218.750000,-710.937500,16148.437500,-2.395,0.549,-75.031 
