
-742.187500,15593.750000,-2.379,0.533,-75.558 
-70.312500,-656.250000,16015.625000,-2.384,0.538,-75.564 
-312.500000,-726.562500,15960.937500,-2.390,0.544,-75.564 
-78.125000,-734.375000,15914.062500,-2.379,0.538,-75.564 
-70.312500,-632.812500,16078.125000,-2.373,0.538,-75.564 
-242.187500,-718.750000,16273.437500,-2.384,0.544,-75.564 
-125.000000,-750.000000,15851.562500,-2.390,0.538,-75.564 
-156.250000,-695.312500,15578.125000,-2.379,0.544,-75.564 
-265.625000,-648.437500,16359.375000,-2.373,0.544,-75.564 
-54.687500,-710.937500,16281.250000,-2.384,0.538,-75.564 
-85.937500,-757.812500,15664.062500,-2.390,0.544,-75.564 
-335.937500,-679.687500,15867.187500,-2.384,0.549,-75.564 
-46.875000,-718.750000,16351.562500,-2.373,0.538,-75.564 
117.187500,-695.312500,15953.125000,-2.379,0.538,-75.564 
-218.750000,-757.812500,15945.312500,-2.390,0.549,-75.564 
-203.125000,-742.187500,15820.312500,-2.384,0.544,-75.564 
23.437500,-656.250000,15968.750000,-2.373,0.544,-75.564 
-171.875000,-648.437500,16226.562500,-2.379,0.544,-75.564 
-148.437500,-765.625000,16023.437500,-2.390,0.544,-75.564 
-109.375000,-734.375000,15664.062500,-2.384,0.544,-75.564 
-179.687500,-640.625000,15976.562500,-2.373,0.549,-75.564 
-125.000000,-671.875000,16476.562500,-2.379,0.544,-75.564 
7.812500,-726.562500,15804.687500,-2.390,0.544,-75.564 
-179.687500,-710.937500,15632.812500,-2.390,0.549,-75.564 
-234.375000,-656.250000,16234.375000,-2.379,0.544,-75.564 
23.437500,-679.687500,16171.875000,-2.384,0.538,-75.564 
-62.500000,-734.375000,15851.562500,-2.390,0.544,-75.564 
-343.750000,-750.000000,15914.062500,-2.390,0.549,-75.564 
-15.625000,-664.062500,16015.625000,-2.384,0.538,-75.564 
-15.625000,-656.250000,16125.000000,-2.384,0.544,-75.564 
-203.125000,-796.875000,16140.625000,-2.395,0.544,-75.564 
-109.375000,-781.250000,15640.625000,-2.395,0.544,-75.564 
-62.500000,-656.250000,15890.625000,-2.384,0.544,-75.564 
-226.562500,-687.500000,16476.562500,-2.384,0.544,-75.564 
-54.687500,-789.062500,16078.125000,-2.395,0.544,-75.564 
-171.875000,-703.125000,15507.812500,-2.395,0.544,-75.564 
-296.875000,-671.875000,16218.750000,-2.384,0.544,-75.564 
-23.437500,-687.500000,16406.250000,-2.384,0.538,-75.564 
0.000000,-710.937500,15835.937500,-2.395,0.538,-75.564 
-281.250000,-710.937500,15796.875000,-2.395,0.544,-75.564 
-101.562500,-718.750000,15984.375000,-2.384,0.538,-75.564 
70.312500,-625.000000,15960.937500,-2.379,0.538,-75.564 
-179.687500,-718.750000,16101.562500,-2.390,0.544,-75.564 
-156.250000,-781.250000,15734.375000,-2.395,0.544,-75.564 
-46.875000,-695.312500,15828.125000,-2.384,0.544,-75.564 
-140.625000,-648.437500,16218.750000,-2.379,0.544,-75.564 
-125.000000,-742.187500,16273.437500,-2.395,0.544,-75.564 
-54.687500,-742.187500,15539.062500,-2.395,0.544,-75.564 
-203.125000,-656.250000,15851.562500,-2.390,0.544,-75.564 
-140.625000,-648.437500,16445.312500,-2.384,0.538,-75.564 
0.000000,-687.500000,15984.375000,-2.390,0.538,-75.564 
-179.687500,-710.937500,15601.562500,-2.395,0.544,-75.564 
-320.312500,-679.687500,16109.375000,-2.390,0.544,-75.564 
0.000000,-687.500000,16164.062500,-2.384,0.538,-75.564 
-101.562500,-734.375000,16054.687500,-2.390,0.538,-75.564 
-3200,-2.395,0.544,-75.564 
-39.062500,-718.750000,15734.375000,-2.390,0.538,-75.564 
-46.875000,-609.375000,15921.875000,-2.384,0.538,-75.564 
-164.062500,-664.062500,16375.000000,-2.390,0.538,-75.564 
-54.687500,-750.000000,15687.500000,-2.395,0.538,-75.564 
-140.625000,-679.687500,15648.437500,-2.390,0.538,-75.564 
-257.812500,-648.437500,16304.687500,-2.384,0.538,-75.564 
7.812500,-734.375000,16265.625000,-2.390,0.533,-75.564 
-46.875000,-687.500000,15570.312500,-2.395,0.538,-75.564 
-351.562500,-718.750000,15976.562500,-2.390,0.544,-75.564 
-93.750000,-687.500000,16281.250000,-2.384,0.533,-75.564 
0.000000,-648.437500,16054.687500,-2.384,0.538,-75.564 
-273.437500,-734.375000,15945.312500,-2.390,0.538,-75.564 
-171.875000,-726.562500,15882.812500,-2.395,0.538,-75.564 
-62.500000,-617.187500,15984.375000,-2.379,0.538,-75.564 
-164.062500,-695.312500,16320.312500,-2.384,0.538,-75.564 
-148.437500,-765.625000,15906.250000,-2.395,0.538,-75.564 
-78.125000,-718.750000,15625.000000,-2.395,0.538,-75.564 
-210.937500,-632.812500,16015.625000,-2.384,0.538,-75.564 
-85.937500,-703.125000,16437.500000,-2.390,0.538,-75.564 
