x,y,z
506,283,17370
456,342,17387
476,350,17349
531,352,17346
485,367,17364
511,355,17361
582,300,17348
531,228,17341
565,125,17372
584,216,17374
497,345,17389
429,381,17381
463,350,17378
445,349,17405
543,296,17387
579,312,17412
568,383,17403
554,331,17397
631,194,17387
691,142,17393
676,177,17397
668,189,17388
597,262,17394
573,328,17400
565,316,17410
613,263,17416
621,257,17432
654,222,17415
685,194,17402
638,209,17389
641,217,17379
655,208,17373
624,217,17364
611,224,17348
611,224,17352
586,241,17364
646,197,17355
692,185,17360
650,208,17369
638,206,17374
665,212,17373
652,216,17387
657,211,17364
657,211,17368
610,230,17367
623,205,17379
662,203,17380
686,165,17373
692,172,17380
703,155,17389
695,181,17392
702,187,17392
716,189,17411
714,195,17416
728,142,17424
730,181,17435
725,170,17434
719,184,17419
730,211,17411
727,218,17417
729,233,17420
724,241,17415
717,269,17407
707,265,17404
723,253,17397
716,252,17417
725,203,17423
725,192,17411
729,186,17417
735,183,17414
747,171,17403
755,160,17409
764,162,17414
779,161,17393
785,153,17393
799,155,17405
802,149,17385
817,160,17380
814,167,17388
834,167,17356
828,172,17357
830,162,17358
809,167,17372
792,167,17367
797,184,17383
779,178,17389
790,179,17388
760,192,17403
735,195,17415
722,202,17422
723,205,17425
712,204,17403
675,188,17385
673,189,17389
650,184,17393
654,176,17413
684,169,17407
692,176,17410
670,176,17409
703,173,17415
729,180,17418
739,179,17393
754,175,17384
751,165,17373
751,165,17367
754,153,17355
801,154,17347
799,160,17345
807,158,17348
815,155,17369
815,157,17379
826,159,17386
834,157,17398
842,164,17397
834,161,17399
831,158,17423
831,161,17427
829,159,17419
833,169,17415
832,178,17404
828,187,17387
836,191,17399
834,179,17419
832,179,17416
836,170,17417
838,173,17425
825,166,17425
823,152,17390
846,138,17316
825,128,17264
780,147,17191
793,141,17180
785,147,17182
769,143,17155
779,131,17130
788,143,17151
773,155,17241
783,152,17273
828,141,17322
820,145,17332
828,145,17341
835,150,17363
827,167,17371
824,167,17387
820,159,17388
821,167,17386
821,164,17400
825,168,17394
815,159,17369
827,153,17374
835,146,17363
833,143,17365
827,138,17355
819,138,17341
822,145,17332
818,140,17324
834,148,17332
825,146,17340
