x,y,z
103.2,-858.95,-35.795
73.977,-754.49,-39.444
79.934,-728.08,-16.225
100.69,-674.74,-39.428
127.41,-621.08,-61.372
41.293,-513.75,-59.245
8.2603,-407.37,-56.216
-72.015,-407.63,-59.591
-98.982,-366.89,-33.44
-80.656,-355.77,-52.272
-66.701,-320.51,-51.845
-75.827,-311.76,-0.97344
-81.063,-348.36,13.586
1.0775,-423.04,19.258
-27.854,-478.26,17.06
22.051,-513.47,17.644
113.8,-603.11,-20.166
149.86,-663.45,-4.6043
121.72,-728.56,-1.9352
155.03,-786.74,-26.564
120.42,-830.96,-30.875
45.376,-926.02,-23.174
85.372,-990.5,-15.681
33.21,-1061.9,-9.1556
-42.036,-1082.6,14.214
-33.488,-1163.4,20.822
-84.052,-1151,25.773
-114.86,-1135.5,64.393
-111.38,-1112.4,51.18
-48.171,-1081.5,44.72
-40.354,-1050.8,19.953
51.085,-990.85,-19.942
82.654,-948.76,-24.632
18.871,-834.66,-36.184
64.877,-752.56,-40.736
71.78,-646.22,-28.693
54.812,-546.64,-19.595
32.183,-477.74,-28.551
1.1141,-380.61,0.33165
-82.07,-296,40.484
-55.605,-350.57,45.283
-22.14,-403.68,51.817
2.5341,-443.17,61.993
-41.609,-514.49,17.514
2.3425,-697.74,12.658
-30.708,-812.87,1.376
29.375,-928.15,-25.667
87.766,-1049.4,-19.53
61.016,-1117.4,-15.484
71.57,-1223.6,17.647
60.587,-1281.3,-6.0836
82.358,-1304.4,-29.912
112.42,-1339.2,-8.6372
149.58,-1349.8,-24.346
120,-1344.1,-45.281
100.34,-1352.3,-70.182
69.56,-1360,-55.168
107.82,-1361,-62.08
139.08,-1343,-42.975
161.71,-1333.3,-23.019
39.047,-1172.5,-40.415
46.941,-1128.7,-2.1872
-6.5267,-1048.3,50.458
-2.9694,-916.52,63.212
67.014,-921.57,51.458
47.624,-836.22,9.1842
45.582,-774.49,16.89
0.081339,-656.24,27.726
84.794,-673.02,19.533
99.864,-690.45,14.143
153.82,-693.12,-2.9725
167.64,-748.4,-14.905
170.12,-718.14,-7.1983
156.68,-737.44,37.161
131.95,-760.18,7.3991
151.43,-792.23,-21.607
136.78,-844.31,2.6028
137.07,-931.38,-1.1255
125.22,-999.46,-0.16561
109.46,-1055.3,4.899
92.18,-1080.5,-1.962
112.86,-1187.5,-38.811
95.072,-1243.2,-30.604
124.93,-1298.2,18.682
178.39,-1418.5,-19.722
208.89,-1467.3,-13.534
225.79,-1492.5,-0.56596
249.02,-1497,9.7131
278.6,-1507.7,-16.743
330.13,-1507,2.4657
422.78,-1552.2,7.5069
472.16,-1606.4,-14.32
495.5,-1548.5,-5.4104
479.23,-1489.9,-10.607
565.58,-1535.2,-20.193
579.19,-1554.9,-25.118
586.07,-1570.7,-22.882
580.77,-1593.2,-48.526
570.08,-1614,-58.106
553.6,-1661,-62.28
512.55,-1657.8,-42.887
527.46,-1697.1,-57.557
505.69,-1734.4,-62.473
533.65,-1773.7,-90.823
536.37,-1828.9,-103.95
546.17,-1830.1,-106.85
586.33,-1824.5,-110.41
579.46,-1743.3,-125.03
605.87,-1771.1,-158.93
539.04,-1686.3,-167.28
586.68,-1636.8,-190.94
592.43,-1614.9,-175.11
582.25,-1568.7,-146.73
527.09,-1479.1,-111.39
417.2,-1362.9,-97.785
326.89,-1170.1,-65.963
237.5,-981.16,-6.5386
160.15,-807.94,40.434
68.393,-670.39,70.516
14.527,-549.24,93.251
-0.33719,-388.12,102.74
-15.684,-266.69,78.332
53.084,-212.83,87.564
80.565,-188.62,68.112
77.87,-79.851,49.933
161.01,-106.44,13.073
118.6,9.2925,0.22991
100.91,133.89,-9.4986
59.935,261.77,-2.7439
51.195,405.25,10.414
20.995,538.68,3.0987
0.55314,711.56,27.266
46.61,739.98,14.554
40.289,840.82,33.552
61.791,887.01,40.137
58.033,949.75,28.226
121.33,966.83,16.138
137.98,962.78,11.69
110.64,1012.7,10.901
87.562,1038.5,-5.0465
65.57,1083.3,-13.256
58.747,1121.8,-27.485
38.373,1153.7,-36.025
64.047,1125.4,-34.261
34.46,1135.8,-55.647
34.464,1129.3,-55.582
43.221,1111.6,-60.614
95.316,1061.5,-55.576
82.535,1040.2,-27.658
86.877,1014,-24.625
80.39,975.94,-19.598
70.763,946.83,-15.194
50.393,921.83,-16.919
46.893,853.36,-4.0544
62.63,779.66,11.685
65.158,718.22,13.376
61.332,702.88,-4.8935
42.167,693.85,12.919
25.452,692.39,15.843
13.725,686.3,-0.58209
38.867,648.89,12.198
28.837,651.22,19.967
31.848,679.93,24.229
23.565,691.76,23.313
24.31,665.83,23.102
14.981,651.29,24.235
31.957,645.55,30.015
35.269,653.22,34.7
17.987,661.74,41.718
22.148,648.87,27.04
-115.83,709.37,-33.955
-93.311,658.75,-21.393
-79.873,635.62,-12.887
-57.192,618.58,-29.615
-43.473,585.42,-29.722
-23.839,550.48,-13.282
-2.7552,530.2,-26.247
12.324,530.6,-23.475
143.93,423.36,19.461
124.73,433.86,17.557
110.31,446.77,6.1662
85.45,435.67,16.653
75.152,444.92,8.0102
68.569,444.7,-3.5801
52.958,437.31,9.6832
38.519,433.43,0.21598
28.73,414.66,4.2292
23.777,389.28,-0.39238
24.13,381.83,-1.234
18.655,376.72,0.34355
2.9912,364.92,6.5652
3.2428,361.59,20.02
9.5554,356.7,26.974
4.9711,343.33,34.396
3.842,332.72,37.624
8.604,345.31,33.162
2.2011,344.36,33.474
11.227,333.78,19.656
24.735,337.89,23.782
19.427,339.7,-0.33349
19.324,342.86,13.562
28.854,362.79,10.5
23.998,345.09,4.7043
14.464,336.13,-1.6225
11.882,335.42,-0.15517
9.3173,333.85,13.381
9.5993,326.58,13.597
3.4889,318.93,32.26
-0.74838,288.16,2.6686
-2.5083,277.55,10.193
4.7292,269.5,13.987
14.582,276.21,13.317
16.103,261.15,29.202
7.2684,258.03,15.95
1.5404,251.09,7.4919
9.8134,230.88,14.51
14.581,239.35,8.3168
20.627,211.25,11.838
12.571,200.12,3.4054
8.7492,190.01,14.713
3.7653,181.54,0.05596
8.8779,165.31,6.4404
8.4097,164.63,22.544
4.9738,149.3,5.378
-2.9421,153.33,20.177
-12.331,149.26,16.003
-1.3713,164.39,33.346
0.79418,187.14,31.219
10.202,186.61,32.671
18.855,184.41,33.008
15.917,178.16,26.966
14.836,184.72,43.225
17.339,184.23,45.077
22.463,181.09,47.624
16.088,164.41,27.247
14.423,143.47,28.199
8.8702,137.95,36.696
1.4604,142.03,44.638
3.4209,136.49,37.643
12.123,130.12,37.029
14.844,121.52,33.574
5.8224,129.13,17.407
7.6505,126.45,24.347
7.2271,121.27,26.32
9.5704,137.81,33.022
4.4775,140.01,1.0102
7.032,140.45,1.6761
5.5655,143.13,-9.2575
8.6684,139.4,-13.608
8.9972,134.75,-0.78391
5.6574,127.43,6.2207
7.447,133.27,7.2844
9.4775,129.9,2.0625
11.442,120.81,27.704
8.9331,123.41,20.887
4.4296,129.28,37.45
-1.4661,132.79,54.178
4.7135,132.83,49.981
4.1901,127.81,34.996
11.373,103.38,43.576
2.9344,96.775,26.322
10.009,100.63,22.289
13.684,96.859,42.132
12.625,93.554,35.697
11.738,112.81,18.324
5.2715,94.478,25.329
2.9097,93.124,30.976
-3.7511,112,14.739
1.1462,109.27,39.382
1.9536,84.574,49.282
0.12145,66.365,31.632
5.2765,56.811,20.435
2.8975,50.91,15.673
6.417,78.248,9.8722
5.7086,63.77,10.952
1.016,54.407,-8.7523
2.3636,72.767,-19.753
-8.3884,88.881,-32.665
-6.1898,95.597,-43.944
-15.525,88.68,-50.839
-12.152,102.98,-43.66
-13.814,81.257,-49.47
-7.9175,68.375,-40.733
-3.4587,58.44,-4.0193
0.089483,64.487,-17.958
15.065,59.341,-9.1277
6.0691,65.444,10.677
19.088,61.794,26.618
16.283,57.353,37.476
21.483,81.211,41.975
23.02,107.36,71.709
17.801,117.65,63.704
13.824,107.59,65.71
4.4702,103.42,51.25
12.063,100.69,38.687
9.0571,90,32.515
8.6726,89.774,20.475
7.9436,97.608,27.796
1.1385,89.943,0.057679
4.4975,67.973,-3.0663
6.6308,56.64,10.893
2.6598,54.926,19.417
3.2607,46.65,19.327
-1.4526,51.073,16.988
-2.0006,49.903,13.213
-3.5557,39.438,41.215
5.7324,37.671,46.602
6.3637,55.438,46.852
1.9459,60.66,33.2
3.5699,67.803,35.897
3.748,81.657,49.12
-0.97514,78.666,51.748
10.868,83.433,52.891
7.6568,89.769,16.066
0.53839,97.21,12.775
-0.65918,87.144,9.6569
-1.5265,89.426,12.913
6.6874,85.399,15.319
6.7165,80.966,10.157
5.7858,76.367,15.045
-6.8955,78.658,-0.96107
4.002,75.229,1.3075
10.449,63.433,-6.1599
13.83,58.832,1.561
17.456,48.559,7.9158
13.551,51.765,9.1549
17.198,61.841,2.7009
23.154,64.206,-9.1057
30.584,45.404,16.041
19.987,41.937,5.5954
7.9928,39.012,8.3961
5.9499,42.649,1.794
