x,y,z
1916.9,-1437.9,-4333.2
2034.3,-1216.1,-4836.3
1963.7,-940.01,-5254.7
1963.3,-852.11,-5251.3
1860.7,-636.94,-5338.7
2030.2,-580.02,-4863.8
2519,-641.61,-4449.5
3083.8,-1108.9,-3826.4
3522.8,-1775.9,-2429.9
4107.7,-2962.6,-1244.9
5381.2,-4842.3,-241.81
6129,-6343.1,789.25
6220.8,-7874.1,858.74
6035.3,-8600.2,503.4
5480.6,-8648.1,462.55
4681.6,-7874.6,189.1
3542.8,-5957.7,226.54
2823.9,-3792.2,168.69
2033.4,-1342.1,-501.85
1212.3,291.1,-1426.2
487.32,2087,-3007.1
-504.97,2875.2,-4299.2
-1216.2,3024.1,-5547.5
-1183.2,2309.1,-6199.5
-598.04,1701.9,-6163.5
-509.09,866.05,-5635.1
-717.65,647.23,-5089.6
-901.24,628.64,-4199.7
-1878.2,1230.1,-2753.1
-2474.8,1634.4,-1906.1
-3488.5,1865,-1383.8
-4220.9,2066.9,-1265
-4430.7,1550.8,-1172.3
-4310.5,1170.5,-732.67
-5115.2,1449.5,610.99
-4499,603.62,1610.4
-3109.9,-1645.4,2365
-1948.4,-2906.9,1533.3
-564.75,-4454.2,1642.9
815.79,-5726.9,928.97
1886.9,-6240.8,309.99
2870.7,-6230.9,-172.42
3671.2,-5344.4,-2100
3746.1,-3662.1,-2972.6
3875.2,-1668.1,-3066.4
4282.6,-995.9,-3615.6
3695.8,1000.2,-4396.6
2862.5,2320.3,-5029.1
1911.2,2984.2,-5745.8
671.91,3547.4,-6144.9
-764.2,3707.2,-6263.4
-2088.5,3538.7,-5563
-3348.3,3174.5,-5151.7
-4376.7,2475.4,-4961.6
-5140.6,1733,-3992.9
-5722.9,1429.1,-3487.4
-6187.8,1319.4,-1901.9
-6191.9,1291.1,-341.2
-5645,1026.1,1156.1
-4014,528.13,1801.1
-2820.5,105.36,2092.5
-1565.8,-127.15,1756.9
-778.66,-300.98,2808.4
669.37,-1107.1,2953.8
1620.3,-1668.4,4110.3
3002.2,-2387.2,6102
4123.9,-2678.7,7418.7
4612.7,-2375.9,8071.4
4785.6,-1837.2,8327
4381.6,-925.19,8493.1
3451.8,195.45,6686.9
2552,1543.6,6156.2
1236.7,2156.9,4117.8
69.519,1967.1,1736
-1049.9,1294.1,-656.37
-1631.5,283.44,-2478.7
-1696.9,-241.09,-3907.6
-1002.5,-727.74,-5140.3
-200.7,-926.78,-6051.5
681.56,-1139.4,-6849.2
1781.4,-1442.2,-7116.7
1689.4,-801.54,-7062
1847.7,-823.42,-6536.4
1341.7,-841.52,-4430.2
1015.1,-1166.9,-3134.8
-4.0914,-1365.3,-1954
-698.85,-1620.1,-1227.5
-1319.6,-1852.6,-458.04
-1955.3,-1706.9,302.88
-1918.7,-2075.5,862.56
-2698.5,-2566.1,566.01
-2504.6,-2160.2,268.29
-2572.4,-1993.4,140.08
-1861.3,-1648.9,-308.23
-1943,-1600.4,-83.161
-1652.3,-1415.7,22.153
-1439.7,-1196,-6.1608
-1024.3,-1263.1,-207.34
-342.42,-328.09,232.85
9.7535,-484.02,91.621
190.45,-593.5,-96.314
-61.124,-694.38,72.044
74.551,-552.86,-37.085
213,-647.69,-51.505
86.169,-707.67,-40.284
29.387,-681.33,-46.706
90.201,-751.57,-29.339
11.377,-710.8,4.2914
13.766,-623.22,13.638
61.733,-561.21,-21.261
203.17,-535.89,4.7203
62.511,-347.71,7.6424
131.85,-301.51,13.068
176.36,-266.74,1.3278
85.268,-200.55,-30.824
15.329,-159.76,-17.39
-15.268,-27.348,-24.48
-70.767,-9.4874,-31.851
-19.085,-14.076,-35.619
-11.871,-13.597,-34.61
-30.454,-7.656,-59.274
-66.622,37.125,-53.681
-9.8941,5.684,-37.504
-34.8,4.9162,-37.203
-27.837,-102.15,-39.331
48.203,-118.03,-30.608
33.5,-130.51,-31.695
12.331,-138.04,-12.222
43.746,-151.72,28.693
-15.698,-157.63,46.008
-61.902,-133.2,42.663
-35.725,-136.96,34.797
-28.298,-130.24,45.827
6.8963,-123.32,30.438
-52.494,-98.35,23.962
-23.825,-94.356,25.133
-22.347,-85.691,18.295
12.256,-67.618,2.6074
7.4831,-45.528,-10.338
-0.61228,-27.289,-10.055
-1.9293,-16.399,-20.178
-23.659,-28.931,-8.3043
32.05,-48.554,-4.4878
15.026,-27.463,-1.2039
-16.071,-35.159,-9.8489
-8.5698,-36.916,-5.0828
-6.9501,-36.63,0.92743
3.4173,-34.487,-3.554
-2.1407,-33.815,5.6838
-0.40157,-37.521,-17.444
-5.6865,-34.222,-26.182
-4.4242,-38.803,-28.201
-4.4153,-38.049,-35.155
-4.1576,-32.448,-35.099
-4.3666,-24.579,-22.006
-14.109,-24.249,-14.42
-5.083,-17.306,-24.722
18.695,-11.512,-3.9047
10.437,-8.9097,10.323
12.064,-1.7219,-17.894
11.215,1.1522,-13.981
9.3903,0.69675,-22.025
11.301,-6.4225,-24.259
12.402,-10.403,-13.457
6.7272,-13.587,-11.32
-22.996,-10.57,-13.84
-11.969,-9.8431,-23.14
-15.029,-8.4919,-4.8083
-12.593,-5.853,-6.7455
-12.564,3.3928,6.44
-14.064,8.5452,-3.3122
-11.189,12.106,-10.277
-12.352,15.188,-25.064
9.0175,13.139,-6.0484
6.4439,14.932,-3.0058
8.7883,11.847,-35.239
8.2314,6.2392,-20.315
17.442,6.8854,-21.909
13.798,5.0032,-45.951
7.1429,1.0759,-65.793
15.406,0.13268,-32.29
-10.283,5.9697,-58.154
-10.856,8.2194,-62.009
-5.1528,17.079,-19.136
-8.5076,20.493,-49.916
-13.066,33.664,-22.613
-2.8876,25.772,10.065
2.3555,19.433,30.856
-11.215,13.118,14.547
8.7951,7.9713,23.618
-1.5391,24.069,25.025
-6.6586,2.8474,25.314
-8.4331,-6.2622,22.486
-6.7637,-7.865,-7.5214
-4.2929,-6.2457,-1.5586
-4.698,-6.0725,4.5261
2.3673,-3.1852,-3.7982
-11.81,2.4958,-15.05
-6.0697,3.4003,-14.205
5.9961,8.3899,-23.776
12.152,8.6354,11.851
13.752,5.1914,20.615
9.8061,2.6964,13.645
6.7304,2.399,6.6822
9.9167,29.105,23.422
13.587,25.777,29.075
23.649,13.817,28.428
7.3961,9.7723,22.008
2.8987,5.8956,3.1498
-2.6372,7.1358,-4.5844
-6.3103,-0.42927,8.6482
-2.2487,-2.7036,18.519
-3.462,-8.8293,13.595
-1.1452,-5.6535,12.52
-11.254,-2.9823,6.0725
-10.802,16.67,12.177
-7.0995,30.505,3.0848
-2.3019,33.324,4.9057
-8.5398,37.677,-10.752
-9.5941,48.688,-27.614
-6.1816,48.326,-35.675
-15.76,57.269,-32.066
-9.1837,46.605,-19.214
-4.4924,39.23,-10.329
-5.6129,32.815,-3.1945
-9.3551,36.577,-9.9167
-3.9658,35.311,-3.0773
-3.7209,26.611,0.97186
-7.3118,0.87818,6.2659
-4.1371,-17.228,4.1825
-3.4114,-22.954,-1.8079
-5.9954,-24.475,-7.621
-2.1644,-26.4,-13.789
1.1309,-31.406,-10.982
7.7066,-26.661,-19.358
9.7058,-25.39,-4.5533
31.426,-21.418,3.1511
30.481,-24.845,12.815
23.143,-19.4,12.843
22.762,-16.333,8.5823
14.022,-11.205,10.776
7.0752,-9.1878,9.9717
5.1859,-9.3143,21.994
-1.4807,-8.3355,19.28
-23.843,-8.8811,-4.5344
-22.011,-4.4545,-11.323
-15.113,-5.5253,-19.418
-15.686,-2.2666,-18.183
-11.047,-6.6204,-5.2269
-0.92098,1.8052,-9.6274
-7.0835,2.3686,-13.279
-2.1796,5.3179,-7.4416
-1.8425,7.7805,11.593
2.2213,6.7452,3.3894
3.8329,9.6506,18.295
6.3542,-2.0681,25.092
7.4904,2.7337,4.939
5.4854,3.2703,15.964
7.505,4.4851,17.789
3.2247,11.764,6.9327
4.8569,12.123,4.8101
0.14784,17.222,12.027
-3.9102,12.775,8.2395
0.37145,25.055,-7.9128
0.19468,17.324,12.102
0.94025,9.758,11.043
0.15472,9.2834,17.077
5.7047,-2.954,18.745
6.8095,-2.6672,17.607
11.77,-8.1661,21.246
15.577,0.12033,22.91
10.126,1.0877,31.013
6.3556,4.9888,30.092
1.2226,5.7678,34.291
2.6033,0.19717,11.176
-0.6066,-16.746,0.28191
0.97986,-19.471,-4.7994
-3.0359,-10.953,-2.5927
-3.7117,-16.967,4.4867
-3.3882,-19.506,-12.491
-2.0007,-13.078,-18.524
-6.6128,-9.6265,-31.261
-4.2926,-6.0898,-18.265
-4.2702,14.064,-13.191
-5.81,17.803,-7.0173
-0.2523,13.77,-10.212
-0.05499,9.2388,-21.199
5.6444,10.463,-5.4618
7.4564,10.734,0.40493
13.87,14.918,4.9797
11.04,10.065,8.9654
8.2391,18.07,-6.025
3.1832,10.428,-11.863
-7.7241,11.512,-14.323
-6.6894,14.755,-11.27
-13.058,12.73,-11.842
-14.261,28.969,-21.648
-14.127,32.153,-19.486
-15.712,45.933,-19.247
-14.386,37.001,-12.09
-10.934,50.591,-25.137
-24.285,50.707,-26.251
-18.441,56.542,-31.262
-17.643,51.039,-33.041
-11.969,48.517,-24.104
-9.8249,58.826,-34.073
-3.0756,52.617,-37.301
1.5048,59.201,-35.494
1.1369,57.204,-12.44
19.63,50.177,-15.472
9.7505,41.887,-21.166
15.231,39.871,-29.587
4.9853,42.226,-26.185
-3.3673,23.558,-13.791
-2.583,22.647,-12.786
-1.0502,14.542,-9.8448
1.099,5.4413,-2.9581
5.8402,15.907,7.7846
10.491,15.324,20.465
7.3678,10.744,41.514
10.692,5.7796,46.233
13.059,15.361,48.98
11.268,20.779,34.912
17.071,22.75,49.479
16.298,19.621,42.306
31.094,-13.548,43.327
19.537,-29.678,36.535
18.188,-27.328,28.395
11.96,-28.437,3.4913
11.999,-33.648,-15.688
9.9495,-37.282,-15.719
-2.2898,-39.888,-29.21
-5.3429,-35.842,-45.025
-28.119,-29.016,-60.751
-16.499,-20.592,-61.978
-13.887,-20.431,-70.913
-8.9505,-19.915,-62.992
-7.9996,5.2273,-51.911
-5.2058,19.33,-47.968
-1.3135,28.159,-38.113
-2.7167,31.35,-19.013
10.261,34.74,-0.66012
1.6413,29.845,6.6534
2.3176,7.2595,10.645
-3.7279,-5.7358,20.936
-5.3252,-16.263,32.045
-7.1685,-19.462,50.2
-5.3975,-19.773,47.169
1.7498,-21.993,37.837
-9.2952,-24.579,22.387
16.111,0.054278,12.142
13.164,16.499,1.0806
23.061,23.298,-20.632
17.463,30.323,-17.621
12.096,29.142,-32.589
11.88,38.759,-42.758
2.0948,37.642,-36.404
7.6877,32.056,-21.696
-15.305,3.2701,-7.5364
-11.253,-14.838,-12.558
-12.075,-1.7007,4.6397
-8.9225,12.079,-4.3859
-7.0613,14.773,-8.3812
-12.023,-7.2784,6.0057
-4.3312,6.7585,-8.2666
-10.31,17.946,-29.913
-11.333,1.8851,-37.695
-12.135,-3.7413,-18.464
-11.091,-5.2858,-19.341
-8.2209,-20.8,-21.358
-6.1519,-16.006,-2.3025
-2.9523,-24.451,-8.4013
0.72635,-25.689,-12.575
9.7995,-20.674,4.9473
-7.4843,-14.656,-3.2293
-2.5143,3.1249,2.6568
-8.1056,-1.8022,5.991
-3.37,6.5947,0.86512
-5.4255,23.851,-18.026
-5.5471,47.732,-10.945
-13.138,53.27,7.5549
-10.306,23.369,4.6141
35.768,6.1526,23.228
22.865,-22.01,22.398
24.219,-0.39428,21.045
21.145,8.8899,12.899
24.577,18.136,17.453
17.898,10.628,-4.5001
21.869,-6.1703,-8.9043
13.228,-15.426,-11.714
-15.368,-20.352,-34.399
-11.272,-6.2958,-35.396
-3.8446,-16.867,-29.647
-1.7064,-16.865,-14.696
-8.9641,-17.456,-9.2848
-7.0658,-16.467,13.747
-12.145,-14.327,16.087
-23.332,-12.997,14.818
-14.679,-9.2323,18.634
-9.0435,1.9207,10.505
-12.484,3.3208,1.7831
-17.527,3.2326,-6.807
-7.5621,1.8963,2.8567
-2.1007,2.5987,-0.3454
-0.49038,4.9122,-0.42551
8.6926,6.9165,1.064
8.8982,4.3677,15.952
2.5077,5.1759,23.194
2.8016,5.0662,24.148
8.1069,25.708,31.803
-0.25659,12.564,21.156
-8.6071,9.0978,2.6088
0.65746,1.8141,12.222
-4.4973,5.3241,2.4967
3.3835,3.8828,-3.875
10.504,5.4615,-5.295
5.7385,7.7887,-11.164
-2.6094,3.5884,-13.792
2.5115,5.942,-20.032
8.9584,0.88654,-24.422
-0.54826,3.1609,-43.031
4.522,1.0379,-26.26
-6.0642,5.6605,-48.725
-4.3432,-2.3938,-51.731
-3.1143,-6.4136,-45.744
-1.6605,2.8436,-47.768
1.2429,22.465,-49.927
0.77032,40.996,-34.93
22.763,42.965,-33.133
24,43.591,-39.486
17.31,38.312,-15.398
7.549,42.815,-8.0941
7.5106,50.792,-7.1855
12.209,49.659,-6.5091
5.8922,28.327,-3.2358
1.3935,8.1793,-10.047
-15.107,2.3262,-3.1677
-17.307,2.2653,8.2038
-7.4173,1.5734,2.9144
-3.8401,-7.9924,13.805
-4.664,-19.486,9.8536
-7.2665,-17.991,19.058
-8.1251,-21.942,15.176
2.5397,-17.124,23.721
1.9532,-20.959,21.703
2.9682,-22.23,16.611
-0.054286,-20.514,14.734
-0.70347,-11.21,3.802
-1.3804,-1.324,12.9
-6.7583,-8.8246,-7.7981
3.3587,-3.6558,2.7878
1.8777,19.878,8.8422
5.2355,17.38,13.694
2.2068,34.055,10.789
0.29005,39.966,23.878
-0.11159,18.197,21.965
-1.6637,6.2478,7.0776
7.7297,23.221,27.616
1.391,35.369,13.856
-7.1181,36.552,1.2787
-20.338,35.653,5.0906
-13.709,37.985,0.98861
-18.058,40.254,-5.5964
-10.843,40.246,-24.766
-8.7575,38.922,-8.715
-11.238,40.541,-21.461
-4.8577,37.668,-10.62
10.073,40.716,-5.3421
15.421,19.637,-8.6598
18.854,-1.349,-11.006
19.253,12.901,2.7453
11.993,21.915,13.926
19.56,-5.8135,18.395
20.096,-15.638,18.125
15.864,-24.993,20.085
7.2988,-25.27,30.357
5.4854,-31.245,21.33
-2.3838,-27.227,7.6794
-8.5408,-25.797,-5.9723
-2.4778,-25.7,1.8132
-5.4065,-13.393,-8.9683
-8.3293,-17.347,9.2564
-12.234,-10.673,1.5878
-9.2243,-15.195,-13.447
-4.0737,-13.791,-2.5745
-0.43144,-11.714,9.2912
5.994,-14.562,9.9362
4.3595,-9.574,-2.0515
2.7159,-9.4243,-1.019
0.1686,-7.5562,-14.925
2.8432,-11.481,-16.109
-7.1617,-9.0943,-16.603
-5.6394,-5.4895,-30.624
-7.5869,-30.049,-23.472
-3.6675,-12.998,-28.564
-2.3254,-10.262,-13.583
-1.0207,-23.943,-17.615
2.5713,-8.3161,-12.777
1.7569,1.5112,1.2529
6.4877,1.8921,12.973
6.0692,15.494,17.937
2.2304,-7.1305,13.023
-2.6046,-2.1033,-1.7545
-0.59772,2.9618,-6.8316
-5.7523,-2.7603,-1.5445
-4.2324,1.0858,-18.566
2.7063,4.7092,-27.894
