x,y,z
297.99,41.94,-17.22
418.99,-56.06,-89.22
620.99,-16.06,-73.22
905.99,-26.06,-151.22
1259,27.94,-221.22
1534,27.94,-117.22
1841,98.94,-39.22
2196,58.94,5.78
2475,99.94,-22.22
2810,160.94,121.78
3458,139.94,-210.22
3779,384.94,-30.22
3892,293.94,-13.22
3882,336.94,-165.22
4190,320.94,-359.22
4191,497.94,-352.22
3709,377.94,-182.22
2809,566.94,241.78
1785,540.94,712.78
834.99,139.94,820.78
-165.01,-3.06,845.78
-1043,-58.06,1003.8
-2204,-142.06,1191.8
-3146,-368.06,1153.8
-3907,-284.06,1151.8
-3786,-373.06,624.78
-3993,-315.06,406.78
-4076,-125.06,159.78
-4076,55.94,226.78
-3987,158.94,192.78
-3545,253.94,122.78
-3012,297.94,114.78
-2208,281.94,-27.22
-1901,222.94,9.78
-1508,180.94,71.78
-1083,152.94,108.78
-554.01,143.94,65.78
-31.007,45.94,2.78
38.993,-5.06,-9.22
15.993,-5.06,-2.22
15.993,-5.06,-5.22
22.993,-2.06,-7.22
22.993,-6.06,-3.22
14.993,-1.06,-16.22
13.993,7.94,-5.22
3.9933,5.94,1.78
1.9933,1.94,26.78
9.9933,34.94,9.78
-25.007,30.94,-84.22
9.9933,20.94,-124.22
45.993,97.94,-107.22
111.99,86.94,-146.22
84.993,100.94,-141.22
82.993,105.94,-169.22
68.993,116.94,-160.22
38.993,83.94,-182.22
92.993,119.94,-95.22
44.993,122.94,-68.22
-10.007,50.94,-69.22
-72.007,65.94,-25.22
-38.007,52.94,-23.22
-36.007,30.94,7.78
-20.007,25.94,-9.22
-6.0067,53.94,31.78
-43.007,-24.06,41.78
-29.007,8.94,34.78
-12.007,2.94,19.78
-10.007,-4.06,25.78
-5.0067,4.94,23.78
-25.007,-3.06,8.78
-11.007,15.94,-15.22
-2.0067,1.94,-13.22
-4.0067,24.94,-6.22
5.9933,20.94,-9.22
-10.007,23.94,-10.22
-4.0067,32.94,-12.22
-12.007,13.94,-25.22
8.9933,36.94,-29.22
4.9933,26.94,-14.22
-4.0067,20.94,-9.22
14.993,44.94,-29.22
13.993,19.94,-14.22
21.993,25.94,-7.22
-0.0066667,2.94,-5.22
4.9933,-18.06,1.78
26.993,-0.06,38.78
5.9933,-31.06,36.78
23.993,-10.06,16.78
33.993,-13.06,21.78
9.9933,-40.06,22.78
30.993,-15.06,10.78
42.993,2.94,1.78
27.993,-1.06,1.78
17.993,24.94,-27.22
47.993,32.94,-19.22
26.993,-1.06,-21.22
29.993,16.94,-8.22
58.993,35.94,-9.22
22.993,6.94,3.78
37.993,10.94,10.78
44.993,28.94,12.78
33.993,13.94,30.78
6.9933,20.94,23.78
10.993,27.94,45.78
9.9933,20.94,39.78
-5.0067,30.94,53.78
10.993,22.94,44.78
9.9933,28.94,49.78
7.9933,34.94,48.78
-1.0067,52.94,0.78
23.993,48.94,12.78
34.993,69.94,15.78
0.99333,-5.06,26.78
10.993,15.94,36.78
114.99,-247.06,-0.22
87.993,-304.06,5.78
78.993,-305.06,20.78
95.993,-351.06,54.78
80.993,-376.06,10.78
88.993,-388.06,-14.22
92.993,-323.06,-17.22
97.993,-338.06,-43.22
-7.0067,-60.06,9.78
-0.0066667,-12.06,5.78
14.993,-0.06,-59.22
-4.0067,19.94,-69.22
-11.007,48.94,-35.22
-17.007,52.94,-25.22
7.9933,51.94,-27.22
22.993,76.94,-24.22
19.993,63.94,-51.22
-2.0067,58.94,-78.22
-24.007,62.94,-32.22
-24.007,69.94,-11.22
-15.007,46.94,-25.22
-5.0067,54.94,-43.22
-25.007,50.94,-44.22
-37.007,26.94,-37.22
-30.007,40.94,-21.22
4.9933,44.94,-4.22
26.993,14.94,9.78
35.993,-17.06,34.78
37.993,-1.06,39.78
28.993,-7.06,56.78
35.993,-7.06,58.78
27.993,-15.06,55.78
2.9933,-11.06,28.78
32.993,-3.06,61.78
46.993,7.94,72.78
43.993,17.94,30.78
30.993,27.94,19.78
31.993,28.94,15.78
51.993,41.94,27.78
42.993,59.94,40.78
62.993,35.94,66.78
20.993,24.94,30.78
7.9933,30.94,31.78
6.9933,27.94,23.78
15.993,11.94,44.78
16.993,11.94,51.78
3.9933,1.94,37.78
8.9933,-13.06,27.78
15.993,-11.06,28.78
24.993,-8.06,33.78
45.993,4.94,32.78
50.993,38.94,51.78
56.993,55.94,41.78
54.993,44.94,35.78
39.993,46.94,28.78
26.993,48.94,39.78
24.993,53.94,29.78
24.993,55.94,31.78
8.9933,45.94,16.78
11.993,7.94,3.78
-4.0067,9.94,10.78
-6.0067,12.94,2.78
9.9933,7.94,10.78
15.993,17.94,2.78
21.993,16.94,15.78
22.993,4.94,-2.22
14.993,13.94,-4.22
10.993,16.94,-2.22
24.993,42.94,-10.22
20.993,41.94,-11.22
10.993,47.94,-31.22
11.993,37.94,-37.22
9.9933,36.94,-30.22
14.993,50.94,-18.22
