
,-49.125 
-179.687500,-750.000000,15968.750000,-2.741,0.753,-49.125 
-234.375000,-851.562500,15867.187500,-2.741,0.753,-49.125 
-406.250000,-742.187500,15914.062500,-2.741,0.758,-49.131 
-210.937500,-812.500000,15898.437500,-2.741,0.753,-49.125 
-250.000000,-710.937500,16039.062500,-2.736,0.753,-49.125 
-156.250000,-742.187500,16078.125000,-2.736,0.753,-49.125 
-164.062500,-765.625000,16109.375000,-2.736,0.753,-49.125 
-281.250000,-789.062500,16070.312500,-2.741,0.753,-49.125 
-195.312500,-835.937500,15898.437500,-2.747,0.758,-49.125 
-312.500000,-812.500000,15906.250000,-2.741,0.758,-49.125 
-148.437500,-742.187500,15929.687500,-2.741,0.753,-49.125 
-171.875000,-726.562500,16070.312500,-2.736,0.753,-49.125 
-250.000000,-765.625000,16289.062500,-2.736,0.753,-49.125226.562500,-781.250000,16296.875000,-2.741,0.753,-49.125 
-218.750000,-835.937500,15765.625000,-2.741,0.753,-49.125 
-226.562500,-781.250000,15664.062500,-2.747,0.758,-49.125 
-187.500000,-804.687500,15929.687500,-2.741,0.753,-49.125 
-226.562500,-742.187500,16117.187500,-2.741,0.753,-49.125 
-179.687500,-781.250000,16117.187500,-2.736,0.758,-49.125 
-164.062500,-750.000000,16117.187500,-2.736,0.753,-49.125 
-203.125000,-757.812500,15976.562500,-2.741,0.753,-49.125 
-101.562500,-835.937500,15804.687500,-2.747,0.753,-49.125 
-312.500000,-796.875000,15890.625000,-2.747,0.758,-49.125 
-320.312500,-695.312500,15929.687500,-2.741,0.758,-49.125 
-132.812500,-726.562500,16054.687500,-2.741,0.753,-49.125 
-140.625000,-726.562500,16187.500000,-2.741,0.753,-49.125 
-54.687500,-765.625000,16023.437500,-2.741,0.753,-49.125 
-250.000000,-750.000000,16140.625000,-2.741,0.753,-49.125 
-367.187500,-757.812500,15960.937500,-2.747,0.758,-49.125 
-312.500000,-796.875000,15835.937500,-2.747,0.758,5.625000,-742.187500,15914.062500,-2.736,0.753,-49.125 
-39.062500,-734.375000,15945.312500,-2.736,0.753,-49.125 
-171.875000,-679.687500,16265.625000,-2.736,0.753,-49.125 
-257.812500,-773.437500,16187.500000,-2.741,0.753,-49.125 
-250.000000,-804.687500,15914.062500,-2.741,0.753,-49.125 
-273.437500,-804.687500,15710.937500,-2.747,0.753,-49.125 
-187.500000,-765.625000,15687.500000,-2.747,0.753,-49.125 
-187.500000,-750.000000,16242.187500,-2.741,0.753,-49.125 
-265.625000,-703.125000,16195.312500,-2.741,0.753,-49.125 
-195.312500,-789.062500,16031.250000,-2.741,0.753,-49.125 
-171.875000,-734.375000,16093.750000,-2.747,0.753,-49.125 
-179.687500,-804.687500,15828.125000,-2.747,0.753,-49.125 
-210.937500,-765.625000,15984.375000,-2.747,0.753,-49.125 
-320.312500,-765.625000,16062.500000,-2.747,0.753,-49.125 
-132.812500,-757.812500,15984.375000,-2.741,0.753,-49.125 
-179.687500,-695.312500,16039.062500,-2.741,0.753,-49.125 
-156.250000,-781.250000,16148.437500,-2.741,0.753,-4-195.312500,-804.687500,15890.625000,-2.741,0.753,-49.125 
-328.125000,-796.875000,16078.125000,-2.747,0.753,-49.125 
-304.687500,-859.375000,15843.750000,-2.747,0.758,-49.125 
-265.625000,-742.187500,15882.812500,-2.747,0.753,-49.125 
-117.187500,-695.312500,16156.250000,-2.741,0.753,-49.125 
-156.250000,-734.375000,16179.687500,-2.736,0.753,-49.125 
-242.187500,-734.375000,16210.937500,-2.741,0.758,-49.125 
-343.750000,-820.312500,16046.875000,-2.747,0.758,-49.125 
-210.937500,-835.937500,15812.500000,-2.747,0.758,-49.125 
-242.187500,-796.875000,15773.437500,-2.747,0.753,-49.125 
-132.812500,-742.187500,16039.062500,-2.741,0.753,-49.125 
-312.500000,-687.500000,16156.250000,-2.736,0.753,-49.125 
-179.687500,-742.187500,16187.500000,-2.736,0.753,-49.125 
-179.687500,-835.937500,16031.250000,-2.741,0.753,-49.125 
-195.312500,-812.500000,15867.187500,-2.741,0.753,-49.125 
-54.687500,-796.875000,15640.625000,-2.747,0.753,-49.125 
-320.312500,-765.625000,16039.062500,-2.747,0.75325 
-257.812500,-812.500000,16031.250000,-2.741,0.753,-49.125 
-148.437500,-742.187500,15976.562500,-2.741,0.753,-49.125 
-148.437500,-710.937500,16117.187500,-2.741,0.753,-49.125 
-93.750000,-773.437500,15960.937500,-2.741,0.753,-49.125 
-210.937500,-796.875000,16015.625000,-2.747,0.753,-49.125 
-273.437500,-867.187500,16046.875000,-2.747,0.758,-49.125 
-234.375000,-804.687500,15796.875000,-2.747,0.758,-49.125 
-164.062500,-765.625000,15937.500000,-2.741,0.753,-49.125 
-132.812500,-750.000000,16046.875000,-2.741,0.753,-49.125 
-242.187500,-687.500000,16226.562500,-2.741,0.753,-49.125 
-296.875000,-773.437500,16125.000000,-2.741,0.753,-49.125 
-265.625000,-820.312500,15757.812500,-2.747,0.753,-49.125 
-234.375000,-796.875000,15812.500000,-2.747,0.753,-49.125 
-156.250000,-789.062500,15742.187500,-2.747,0.753,-49.125 
-226.562500,-718.750000,16101.562500,-2.747,0.753,-49.125 
-242.187500,-750.000000,16203.125000,-2.741,0.753,-49.125 
-117.187500,-750.000000,16179.687500,-2.741,049.125 
-195.312500,-750.000000,16031.250000,-2.747,0.753,-49.125 
-132.812500,-789.062500,15632.812500,-2.747,0.753,-49.125 
-234.375000,-796.875000,15843.750000,-2.747,0.753,-49.125 
-281.250000,-734.375000,16164.062500,-2.747,0.753,-49.125 
