ax,ay,az,gx,gy,gz,mx,my,mz
1031,275,16579,0.054954,0.36441,-0.11418,50,37,-24
1031,275,16568,0.054954,0.36441,-0.11418,50,37,-24
1021,273,16570,0.054954,0.36334,-0.11418,50,36,-23
1042,279,16565,0.054954,0.3628,-0.11418,50,36,-23
1068,280,16601,0.054421,0.36227,-0.11471,50,37,-23
1067,279,16578,0.054421,0.36174,-0.11471,50,37,-23
1074,278,16593,0.054421,0.36174,-0.11471,50,37,-23
1068,279,16590,0.054421,0.36174,-0.11471,50,37,-23
1058,246,16615,0.054421,0.3612,-0.11418,50,36,-23
1054,248,16619,0.054421,0.36174,-0.11418,50,36,-23
1062,249,16623,0.054421,0.36174,-0.11418,50,36,-23
1068,241,16623,0.054421,0.36174,-0.11418,51,36,-23
1038,238,16614,0.054421,0.36174,-0.11418,50,36,-23
1036,231,16648,0.054421,0.36174,-0.11418,50,36,-23
1040,232,16649,0.054421,0.36174,-0.11418,50,36,-23
1050,237,16653,0.054421,0.36174,-0.11418,50,37,-23
1059,241,16645,0.054421,0.36174,-0.11418,50,37,-23
1067,227,16657,0.054421,0.3612,-0.11418,50,37,-23
1066,224,16648,0.054421,0.36067,-0.11418,50,37,-23
1072,224,16649,0.054421,0.3596,-0.11418,50,37,-23
1071,222,16653,0.054421,0.35854,-0.11418,50,37,-23
1077,225,16645,0.054421,0.35747,-0.11418,50,37,-23
1068,221,16643,0.053887,0.35694,-0.11418,51,36,-23
1079,218,16629,0.053887,0.3564,-0.11418,51,36,-23
1081,219,16630,0.053887,0.3564,-0.11364,51,35,-23
1083,227,16610,0.053887,0.3564,-0.11364,51,35,-22
1091,215,16638,0.053887,0.35694,-0.11364,51,35,-22
1090,209,16623,0.053887,0.358,-0.11364,51,35,-22
1108,212,16597,0.053887,0.3596,-0.11364,52,34,-22
1119,227,16650,0.053887,0.36067,-0.11364,51,34,-22
1126,231,16682,0.054421,0.36174,-0.11364,51,34,-21
1127,241,16724,0.054421,0.3628,-0.11364,51,34,-22
1129,211,16730,0.054421,0.36334,-0.11418,51,34,-21
1129,217,16756,0.054421,0.36441,-0.11418,51,34,-21
1127,234,16737,0.054954,0.36494,-0.11418,51,34,-22
1121,260,16749,0.054954,0.36547,-0.11418,51,34,-21
1114,256,16778,0.054954,0.36494,-0.11418,51,34,-21
1099,238,16743,0.054954,0.36441,-0.11418,51,34,-21
1091,225,16709,0.054421,0.3628,-0.11418,51,35,-22
1085,207,16682,0.054421,0.36227,-0.11418,51,35,-21
1087,238,16658,0.054421,0.36174,-0.11418,51,35,-21
1081,236,16655,0.054421,0.36067,-0.11418,51,35,-21
1076,237,16652,0.054421,0.36014,-0.11418,51,35,-21
1079,212,16650,0.054421,0.35907,-0.11418,51,35,-21
1071,214,16644,0.054421,0.35854,-0.11418,51,35,-22
1076,223,16619,0.053887,0.35854,-0.11418,52,35,-21
1074,232,16612,0.054421,0.35907,-0.11418,51,35,-21
1064,239,16615,0.054421,0.3596,-0.11418,51,35,-22
1046,241,16639,0.054421,0.36014,-0.11418,51,35,-22
1045,249,16630,0.054954,0.36067,-0.11418,51,35,-21
1046,252,16623,0.054954,0.36067,-0.11418,51,35,-21
1050,265,16628,0.054954,0.3612,-0.11418,51,35,-22
1056,266,16630,0.054954,0.3612,-0.11418,51,35,-22
1054,265,16629,0.054954,0.36227,-0.11418,51,35,-22
1049,274,16651,0.054954,0.36227,-0.11364,51,35,-21
1058,268,16648,0.054954,0.36227,-0.11364,51,35,-22
1076,262,16630,0.054421,0.36227,-0.11364,51,35,-22
1081,256,16633,0.054421,0.36174,-0.11364,51,35,-22
1085,254,16650,0.054421,0.36227,-0.11364,51,35,-22
1074,254,16644,0.054421,0.36227,-0.11364,51,35,-21
1066,259,16648,0.054421,0.3628,-0.11364,51,35,-21
1061,256,16663,0.054421,0.3628,-0.11364,51,35,-22
1069,254,16639,0.054421,0.36334,-0.11364,51,34,-22
1051,259,16638,0.054421,0.36334,-0.11364,51,34,-21
1050,267,16632,0.054421,0.36334,-0.11364,51,34,-22
1048,271,16642,0.054954,0.36387,-0.11418,51,34,-22
1046,269,16628,0.054954,0.36387,-0.11418,51,34,-22
1053,272,16629,0.054954,0.36387,-0.11418,51,35,-22
1051,266,16618,0.054954,0.36334,-0.11418,51,35,-22
1053,264,16602,0.054954,0.36387,-0.11418,51,35,-22
1053,254,16625,0.054954,0.36387,-0.11418,51,35,-22
1063,252,16641,0.054421,0.36387,-0.11418,52,36,-22
1060,240,16656,0.054421,0.36387,-0.11418,52,36,-22
1057,239,16643,0.054421,0.36334,-0.11418,52,36,-21
1053,239,16654,0.054421,0.36334,-0.11418,52,35,-21
1051,239,16651,0.054421,0.36387,-0.11418,52,35,-21
1054,242,16665,0.054421,0.36387,-0.11418,52,35,-22
1059,253,16671,0.054421,0.36334,-0.11418,52,35,-21
1053,284,16670,0.054421,0.36334,-0.11418,51,35,-22
1049,281,16666,0.054421,0.3628,-0.11418,51,35,-21
1047,284,16654,0.054421,0.3628,-0.11418,51,35,-21
1037,276,16658,0.053887,0.36334,-0.11418,51,35,-21
1064,276,16653,0.053887,0.36334,-0.11418,52,35,-22
1068,265,16647,0.053887,0.36334,-0.11418,51,35,-21
1070,255,16645,0.053887,0.36387,-0.11418,51,35,-21
1063,249,16639,0.054421,0.36387,-0.11418,51,35,-21
1077,218,16625,0.053887,0.36494,-0.11418,51,35,-22
1081,250,16614,0.053887,0.36547,-0.11418,51,35,-22
1081,252,16612,0.053887,0.36547,-0.11418,51,35,-22
1083,256,16608,0.053887,0.36547,-0.11364,51,35,-22
1048,257,16610,0.054421,0.36547,-0.11364,51,35,-22
1013,262,16636,0.054421,0.36547,-0.11418,52,34,-22
1005,268,16631,0.054421,0.36547,-0.11418,51,34,-22
994,269,16623,0.053887,0.36601,-0.11418,52,35,-21
1104,266,16801,0.053887,0.37934,-0.11364,52,35,-21
931,229,16709,0.054954,0.47111,-0.10191,52,35,-21
853,248,16842,0.054421,0.54848,-0.076829,52,35,-21
662,239,16928,0.054421,0.72401,-0.064558,53,35,-21
216,240,16905,0.054421,0.99184,-0.06029,54,35,-20
-496,239,16777,0.056555,1.3008,-0.061357,55,35,-20
-1402,249,16621,0.059756,1.5979,-0.065625,57,35,-19
-2414,227,16468,0.06189,1.9607,-0.065091,59,35,-18
-3924,221,15732,0.066159,2.4169,-0.080564,62,35,-17
-5436,304,14981,0.074162,2.856,-0.091768,65,35,-14
